External_Id__c,Owner.External_Id__c,AccountSource,AnnualRevenue,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Industry,Name,NumberOfEmployees,Ownership,Phone,Rating,Type,YearStarted
W_Account.00001,W_User.00011,Data.com,3497000,26 Graceland Street,Cincinnati,OH,45271,USA,Education,Roodel,260,Other,1-(513)172-5827,Hot,Mid-Market,1900
W_Account.00002,W_User.00009,Social Media,1993000,0 Buhler Trail,Albany,NY,12222,USA,Transportation,Wikizz,136,Private,1-(518)686-1436,Cool,Mid-Market,1902
W_Account.00003,W_User.00001,Inbound Call,2652000,71665 Farwell Junction,Washington,DC,20337,USA,Chemicals,Geba,143,Public,1-(202)393-3586,Hot,Small Business,2001
W_Account.00004,W_User.00011,Referral,1931000,9 Hauk Crossing,Raleigh,NC,27605,USA,Environmental,Devbug,104,Private,1-(919)615-9043,Warm,Small Business,2006
W_Account.00005,W_User.00005,Cold Call,3007000,690 Golf View Circle,Moreno Valley,CA,92555,USA,Communications,Meeveo,157,Private,1-(951)591-0261,Warm,Small Business,1989
W_Account.00006,W_User.00012,Marketing Event,1495000,8 Judy Point,Philadelphia,PA,19172,USA,Technology,Lazz,86,Private,1-(215)855-6396,Cool,Mid-Market,1976
W_Account.00007,W_User.00012,Inbound Call,3327000,136 Hudson Street,Huntington,WV,25721,USA,Recreation,Thoughtsphere,212,Other,1-(304)731-7420,Hot,Small Business,1990
W_Account.00008,W_User.00017,Website,2260000,88758 Emmet Parkway,El Paso,TX,88584,USA,Other,Photospace,149,Private,1-(915)430-0308,Warm,Small Business,1899
W_Account.00009,W_User.00014,Social Media,3117000,01 Loomis Drive,Las Vegas,NV,89166,USA,Insurance,Feedfire,204,Private,1-(702)528-9630,Warm,Small Business,1968
W_Account.00010,W_User.00018,Community,2746000,10 Trailsway Park,Virginia Beach,VA,23459,USA,Shipping,Realbuzz,197,Public,1-(757)635-2658,Cool,Small Business,1912
W_Account.00011,W_User.00008,Community,3771000,9 Mesta Court,Huntington,WV,25711,USA,Energy,Ooba,337,Other,1-(304)154-6372,Warm,Small Business,1918
W_Account.00012,W_User.00008,Data.com,2718000,20590 Del Sol Place,Greenville,SC,29615,USA,Entertainment,Ainyx,237,Private,1-(864)568-0266,Warm,Small Business,1959
W_Account.00013,W_User.00016,Cold Call,3137000,3150 Thackeray Point,Minneapolis,MN,55480,USA,Food & Beverage,Realfire,212,Subsidiary,1-(612)704-4501,Cool,Mid-Market,1989
W_Account.00014,W_User.00003,Referral,3449000,73 Tennyson Terrace,Tempe,AZ,85284,USA,Hospitality,Omba,317,Private,1-(480)682-8213,Cool,Mid-Market,1924
W_Account.00015,W_User.00015,Social Media,2682000,0785 Dryden Road,Saint Paul,MN,55127,USA,Communications,Realblab,144,Subsidiary,1-(612)694-9499,Hot,Small Business,1898
W_Account.00016,W_User.00020,Partner,3082000,012 Surrey Junction,Springfield,MO,65805,USA,Agriculture,Yacero,206,Other,1-(417)415-8247,Warm,Small Business,1928
W_Account.00017,W_User.00002,Referral,3322000,278 Burning Wood Trail,Las Vegas,NV,89140,USA,Food & Beverage,Twitterlist,177,Private,1-(702)307-4538,Cool,Mid-Market,1955
W_Account.00018,W_User.00001,Inbound Call,3324000,34973 Saint Paul Hill,Kalamazoo,MI,49048,USA,Banking,Oozz,247,Other,1-(269)908-1187,Hot,Mid-Market,1962
W_Account.00019,W_User.00006,Website,3367000,8 Mosinee Hill,New York City,NY,10292,USA,Engineering,Photojam,213,Public,1-(212)455-6055,Cool,Small Business,1920
W_Account.00020,W_User.00017,Referral,3112000,58245 Maple Wood Point,Bellevue,WA,98008,USA,Apparel,Rhynyx,165,Private,1-(425)419-5685,Hot,Small Business,1943
W_Account.00021,W_User.00006,Cold Call,3207000,6 Namekagon Point,Oklahoma City,OK,73129,USA,Entertainment,Twimm,213,Private,1-(405)183-3658,Hot,Mid-Market,1886
W_Account.00022,W_User.00013,Data.com,2221000,89 West Lane,Anchorage,AK,99512,USA,Retail,Voonyx,169,Private,1-(907)340-2255,Cool,Small Business,1922
W_Account.00023,W_User.00017,Community,3557000,1 Kingsford Circle,Amarillo,TX,79118,USA,Retail,Ooba,224,Private,1-(806)442-3692,Warm,Small Business,1950
W_Account.00024,W_User.00009,Cold Call,3828000,80 Almo Point,El Paso,TX,88579,USA,Not For Profit,Yata,262,Private,1-(915)724-5617,Warm,Mid-Market,1899
W_Account.00025,W_User.00015,Referral,2466000,11930 Weeping Birch Court,Newport Beach,CA,92662,USA,Media,Talane,254,Public,1-(714)308-6013,Warm,Small Business,2003
W_Account.00026,W_User.00006,Referral,3446000,3 Erie Street,Des Moines,IA,50347,USA,Healthcare & Life Sciences,Tazzy,225,Private,1-(515)218-4079,Hot,Small Business,1957
W_Account.00027,W_User.00011,Partner,2192000,65109 Orin Avenue,Indianapolis,IN,46254,USA,Insurance,Riffpath,169,Private,1-(317)723-3670,Hot,Small Business,1889
