External_Id__c,Owner.External_Id__c,Account.External_Id__c,CreatedDate,CloseDate,Name,Products__c,StageName,Amount,Type,ForecastCategory
W_Opportunity.00001,W_User.00008,W_Account.00030,2016-08-02 02:56:08,2016-12-07 02:56:08,New Opportunity [2016-08-02 02:56:08],GC20002,Negotiation,200800,Add-On Business,
W_Opportunity.00002,W_User.00015,W_Account.00085,2016-03-09 18:53:57,2016-06-16 18:53:57,New Opportunity [2016-03-09 18:53:57],GC50000,Proposal/Quote,172200,Add-On Business,
W_Opportunity.00003,W_User.00020,W_Account.00012,2015-10-22 02:54:25,2016-01-06 02:54:25,New Opportunity [2015-10-22 02:54:25],GC5000 series,Closed Won,131400,New Business,
W_Opportunity.00004,W_User.00017,W_Account.00012,2016-11-17 19:35:46,2017-05-06 19:35:46,New Opportunity [2016-11-17 19:35:46],GC5000 series,Qualification,126800,Add-On Business,
W_Opportunity.00005,W_User.00015,W_Account.00045,2016-07-14 05:41:17,2016-09-26 05:41:17,New Opportunity [2016-07-14 05:41:17],GC10001,Needs Analysis,71900,Add-On Business,
W_Opportunity.00006,W_User.00001,W_Account.00032,2016-05-30 22:51:59,2016-08-22 22:51:59,New Opportunity [2016-05-30 22:51:59],GC5000 series,Needs Analysis,172700,Add-On Business,
W_Opportunity.00007,W_User.00013,W_Account.00100,2015-11-13 16:12:02,2016-05-10 16:12:02,New Opportunity [2015-11-13 16:12:02],GC5000 series,Closed Won,100200,Services,
W_Opportunity.00008,W_User.00013,W_Account.00098,2015-07-12 14:40:03,2015-10-24 14:40:03,New Opportunity [2015-07-12 14:40:03],GC50000,Qualification,199200,Add-On Business,
W_Opportunity.00009,W_User.00006,W_Account.00061,2016-03-11 13:23:10,2016-08-14 13:23:10,New Opportunity [2016-03-11 13:23:10],GC5000 series,Closed Won,113600,New Business,
W_Opportunity.00010,W_User.00020,W_Account.00005,2015-07-08 13:21:53,2016-01-10 13:21:53,New Opportunity [2015-07-08 13:21:53],GC50000,Needs Analysis,175200,Add-On Business,
W_Opportunity.00011,W_User.00015,W_Account.00071,2015-05-05 03:33:46,2015-12-01 03:33:46,New Opportunity [2015-05-05 03:33:46],GC20002,Needs Analysis,92900,Add-On Business,
W_Opportunity.00012,W_User.00001,W_Account.00082,2015-09-25 08:25:53,2016-02-11 08:25:53,New Opportunity [2015-09-25 08:25:53],GC1000 series,Closed Won,161000,Services,
W_Opportunity.00013,W_User.00008,W_Account.00083,2016-06-03 13:38:42,2016-09-11 13:38:42,New Opportunity [2016-06-03 13:38:42],GC10001,Closed Lost,198900,Renewal,
W_Opportunity.00014,W_User.00004,W_Account.00098,2015-09-13 03:48:45,2016-03-15 03:48:45,New Opportunity [2015-09-13 03:48:45],GC20002,Negotiation,150800,Services,
W_Opportunity.00015,W_User.00006,W_Account.00015,2015-10-20 07:53:57,2016-05-09 07:53:57,New Opportunity [2015-10-20 07:53:57],GC10001,Qualification,214800,Services,
W_Opportunity.00016,W_User.00016,W_Account.00073,2015-06-17 13:56:57,2015-09-29 13:56:57,New Opportunity [2015-06-17 13:56:57],GC5000 series,Needs Analysis,174300,New Business,
W_Opportunity.00017,W_User.00016,W_Account.00008,2016-02-09 07:15:02,2016-04-22 07:15:02,New Opportunity [2016-02-09 07:15:02],GC1000 series,Proposal/Quote,92300,Renewal,
W_Opportunity.00018,W_User.00016,W_Account.00029,2015-05-09 06:36:29,2015-10-27 06:36:29,New Opportunity [2015-05-09 06:36:29],GC1000 series,Qualification,67900,New Business,
W_Opportunity.00019,W_User.00015,W_Account.00018,2016-11-20 05:15:34,2017-03-12 05:15:34,New Opportunity [2016-11-20 05:15:34],GC20002,Needs Analysis,124900,New Business,
W_Opportunity.00020,W_User.00004,W_Account.00084,2016-01-28 08:49:23,2016-04-21 08:49:23,New Opportunity [2016-01-28 08:49:23],GC20002,Closed Lost,180400,Add-On Business,
W_Opportunity.00021,W_User.00005,W_Account.00050,2015-10-15 16:09:25,2016-02-10 16:09:25,New Opportunity [2015-10-15 16:09:25],GC1000 series,Closed Won,139500,New Business,
W_Opportunity.00022,W_User.00016,W_Account.00007,2015-12-17 09:48:45,2016-06-21 09:48:45,New Opportunity [2015-12-17 09:48:45],GC5000 series,Needs Analysis,174200,Add-On Business,
W_Opportunity.00023,W_User.00001,W_Account.00030,2016-02-07 00:51:57,2016-05-27 00:51:57,New Opportunity [2016-02-07 00:51:57],GC1000 series,Qualification,208000,Renewal,
W_Opportunity.00024,W_User.00009,W_Account.00080,2015-02-02 07:42:34,2015-04-05 07:42:34,New Opportunity [2015-02-02 07:42:34],GC10001,Closed Won,130900,Add-On Business,
W_Opportunity.00025,W_User.00007,W_Account.00012,2015-09-10 17:16:22,2015-12-28 17:16:22,New Opportunity [2015-09-10 17:16:22],GC5000 series,Needs Analysis,135500,Add-On Business,
W_Opportunity.00026,W_User.00004,W_Account.00032,2016-10-26 13:10:02,2017-04-15 13:10:02,New Opportunity [2016-10-26 13:10:02],GC1000 series,Negotiation,205800,Renewal,
W_Opportunity.00027,W_User.00015,W_Account.00032,2015-02-11 00:43:28,2015-08-19 00:43:28,New Opportunity [2015-02-11 00:43:28],GC50000,Qualification,185800,New Business,
W_Opportunity.00028,W_User.00012,W_Account.00033,2016-03-25 10:19:14,2016-08-07 10:19:14,New Opportunity [2016-03-25 10:19:14],GC5000 series,Qualification,109300,New Business,
W_Opportunity.00029,W_User.00002,W_Account.00084,2015-05-07 01:40:24,2015-07-18 01:40:24,New Opportunity [2015-05-07 01:40:24],GC50000,Proposal/Quote,109300,Add-On Business,
W_Opportunity.00030,W_User.00007,W_Account.00041,2015-10-30 15:56:59,2016-02-03 15:56:59,New Opportunity [2015-10-30 15:56:59],GC50000,Proposal/Quote,159900,New Business,
W_Opportunity.00031,W_User.00005,W_Account.00058,2016-10-16 19:54:05,2016-12-18 19:54:05,New Opportunity [2016-10-16 19:54:05],GC50000,Needs Analysis,164500,Add-On Business,
W_Opportunity.00032,W_User.00011,W_Account.00062,2015-01-01 00:15:32,2015-03-14 00:15:32,New Opportunity [2015-01-01 00:15:32],GC50000,Qualification,24400,New Business,
