External_Id__c,Owner.External_Id__c,Subject,Type,DurationInMinutes,Status,Priority,CallDisposition,CallType,ActivityDateTime
W_Event.00001,W_Sales_User.00007,Call,Call,0,In Progress,Normal,Cold,Outbound,2017-02-14 20:32:50
W_Event.00002,W_Sales_User.00008,Send Letter,Email,22,On Hold,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00003,W_Sales_User.00004,Send Letter,Email,51,In Progress,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00004,W_Sales_User.00002,Call,Call,0,Completed,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00005,W_Sales_User.00005,Other,Other,41,Completed,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00006,W_Sales_User.00002,Send Quote,Email,0,On Hold,Normal,Cold,Inbound,2017-02-14 20:32:50
W_Event.00007,W_Sales_User.00003,Call,Call,44,On Hold,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00008,W_Sales_User.00003,Send Letter,Email,26,On Hold,High,Cold,Inbound,2017-02-14 20:32:50
W_Event.00009,W_Sales_User.00003,Send Letter,Email,0,In Progress,High,Cold,Inbound,2017-02-14 20:32:50
W_Event.00010,W_Sales_User.00004,Other,Meeting,34,Completed,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00011,W_Sales_User.00005,Other,Meeting,24,On Hold,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00012,W_Sales_User.00002,Send Quote,Email,32,Completed,Normal,Cold,Internal,2017-02-14 20:32:50
W_Event.00013,W_Sales_User.00004,Call,Call,33,On Hold,Normal,Hot,Outbound,2017-02-14 20:32:50
W_Event.00014,W_Sales_User.00001,Send Letter,Email,0,On Hold,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00015,W_Sales_User.00004,Send Letter,Email,0,In Progress,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00016,W_Sales_User.00010,Send Letter,Email,37,On Hold,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00017,W_Sales_User.00005,Send Letter,Email,0,Not Started,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00018,W_Sales_User.00006,Other,Prep,0,Completed,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00019,W_Sales_User.00007,Call,Call,0,In Progress,Normal,Hot,Outbound,2017-02-14 20:32:50
W_Event.00020,W_Sales_User.00003,Send Letter,Email,0,Not Started,High,Hot,Inbound,2017-02-14 20:32:50
W_Event.00021,W_Sales_User.00004,Call,Call,0,In Progress,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00022,W_Sales_User.00009,Send Letter,Email,16,In Progress,Normal,Hot,Outbound,2017-02-14 20:32:50
W_Event.00023,W_Sales_User.00001,Call,Call,43,On Hold,Normal,Cold,Outbound,2017-02-14 20:32:50
W_Event.00024,W_Sales_User.00009,Other,Prep,0,Not Started,Normal,Cold,Outbound,2017-02-14 20:32:50
W_Event.00025,W_Sales_User.00005,Send Letter,Email,44,Not Started,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00026,W_Sales_User.00002,Call,Call,52,In Progress,High,Cold,Outbound,2017-02-14 20:32:50
W_Event.00027,W_Sales_User.00002,Call,Meeting,0,Completed,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00028,W_Sales_User.00008,Call,Call,0,Completed,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00029,W_Sales_User.00005,Send Letter,Email,0,Completed,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00030,W_Sales_User.00004,Send Quote,Email,35,Completed,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00031,W_Sales_User.00004,Send Letter,Email,29,In Progress,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00032,W_Sales_User.00001,Send Letter,Email,0,In Progress,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00033,W_Sales_User.00005,Call,Call,0,Not Started,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00034,W_Sales_User.00005,Call,Call,0,Not Started,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00035,W_Sales_User.00007,Send Letter,Email,0,Completed,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00036,W_Sales_User.00008,Call,Meeting,0,Completed,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00037,W_Sales_User.00009,Send Letter,Email,0,On Hold,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00038,W_Sales_User.00010,Send Letter,Email,0,On Hold,Normal,Hot,Outbound,2017-02-14 20:32:50
W_Event.00039,W_Sales_User.00009,Call,Call,0,On Hold,Normal,Cold,Inbound,2017-02-14 20:32:50
W_Event.00040,W_Sales_User.00009,Call,Call,15,On Hold,Normal,Cold,Outbound,2017-02-14 20:32:50
W_Event.00041,W_Sales_User.00006,Send Quote,Email,20,Not Started,High,Warm,Inbound,2017-02-14 20:32:50
W_Event.00042,W_Sales_User.00003,Other,Meeting,0,Not Started,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00043,W_Sales_User.00009,Send Letter,Email,33,On Hold,Normal,Cold,Inbound,2017-02-14 20:32:50
W_Event.00044,W_Sales_User.00009,Send Quote,Email,0,Completed,Normal,Cold,Inbound,2017-02-14 20:32:50
W_Event.00045,W_Sales_User.00004,Other,Meeting,0,On Hold,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00046,W_Sales_User.00003,Send Quote,Email,0,In Progress,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00047,W_Sales_User.00010,Call,Meeting,22,Not Started,Normal,Warm,Internal,2017-02-14 20:32:50
W_Event.00048,W_Sales_User.00006,Call,Meeting,0,Completed,High,Hot,Inbound,2017-02-14 20:32:50
W_Event.00049,W_Sales_User.00009,Call,Call,0,Completed,High,Cold,Outbound,2017-02-14 20:32:50
W_Event.00050,W_Sales_User.00004,Other,Other,0,Completed,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00051,W_Sales_User.00003,Other,Other,12,On Hold,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00052,W_Sales_User.00002,Other,Other,41,On Hold,Normal,Cold,Inbound,2017-02-14 20:32:50
W_Event.00053,W_Sales_User.00003,Send Letter,Email,0,Not Started,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00054,W_Sales_User.00010,Call,Call,41,In Progress,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00055,W_Sales_User.00005,Send Quote,Email,0,Completed,Normal,Cold,Outbound,2017-02-14 20:32:50
W_Event.00056,W_Sales_User.00004,Other,Meeting,0,On Hold,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00057,W_Sales_User.00003,Send Letter,Email,31,On Hold,Normal,Cold,Outbound,2017-02-14 20:32:50
W_Event.00058,W_Sales_User.00007,Send Letter,Email,26,In Progress,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00059,W_Sales_User.00005,Other,Prep,34,On Hold,Normal,Cold,Inbound,2017-02-14 20:32:50
W_Event.00060,W_Sales_User.00005,Call,Call,0,Completed,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00061,W_Sales_User.00005,Other,Prep,13,In Progress,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00062,W_Sales_User.00005,Other,Other,54,On Hold,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00063,W_Sales_User.00001,Send Letter,Email,35,Not Started,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00064,W_Sales_User.00002,Send Letter,Email,0,On Hold,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00065,W_Sales_User.00005,Send Letter,Email,45,On Hold,Normal,Cold,Inbound,2017-02-14 20:32:50
W_Event.00066,W_Sales_User.00010,Call,Call,0,Not Started,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00067,W_Sales_User.00001,Send Quote,Email,14,On Hold,Normal,Hot,Internal,2017-02-14 20:32:50
W_Event.00068,W_Sales_User.00004,Send Letter,Email,35,Completed,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00069,W_Sales_User.00007,Send Letter,Email,0,In Progress,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00070,W_Sales_User.00007,Call,Call,0,Completed,High,Warm,Inbound,2017-02-14 20:32:50
W_Event.00071,W_Sales_User.00004,Other,Other,0,Not Started,High,Warm,Inbound,2017-02-14 20:32:50
W_Event.00072,W_Sales_User.00006,Send Letter,Email,0,Not Started,Normal,Hot,Inbound,2017-02-14 20:32:50
