External_Id__c,Owner.External_Id__c,Subject,Type,TaskSubtype,CallDurationInSeconds,Status,Priority
W_Task.00001,W_Sales_User.00004,Other,Prep,Call,180,Completed,High
W_Task.00002,W_Sales_User.00005,Send Letter,Email,Task,360,Not Started,Normal
W_Task.00003,W_Sales_User.00007,Send Letter,Email,Call,2700,Completed,Normal
W_Task.00004,W_Sales_User.00006,Call,Call,Call,1080,In Progress,Normal
W_Task.00005,W_Sales_User.00002,Other,Meeting,Email,1620,On Hold,Normal
W_Task.00006,W_Sales_User.00005,Send Letter,Email,Email,5400,Completed,High
W_Task.00007,W_Sales_User.00008,Send Letter,Email,Email,3600,Completed,Normal
W_Task.00008,W_Sales_User.00005,Other,Prep,Call,720,Completed,High
W_Task.00009,W_Sales_User.00003,Other,Other,Email,1440,Not Started,Normal
W_Task.00010,W_Sales_User.00009,Send Letter,Email,Call,1800,In Progress,Normal
W_Task.00011,W_Sales_User.00006,Other,Prep,Task,120,On Hold,Normal
W_Task.00012,W_Sales_User.00009,Call,Call,Task,2160,On Hold,Normal
W_Task.00013,W_Sales_User.00004,Send Letter,Email,Call,720,Not Started,Normal
W_Task.00014,W_Sales_User.00001,Send Letter,Email,Task,90,On Hold,Normal
W_Task.00015,W_Sales_User.00006,Send Letter,Email,Email,360,In Progress,High
W_Task.00016,W_Sales_User.00004,Call,Call,Email,3600,Not Started,Normal
W_Task.00017,W_Sales_User.00001,Send Letter,Email,Email,240,On Hold,High
W_Task.00018,W_Sales_User.00006,Call,Call,Task,1200,In Progress,Normal
W_Task.00019,W_Sales_User.00007,Send Letter,Email,Task,480,On Hold,Normal
W_Task.00020,W_Sales_User.00001,Send Letter,Email,Call,1440,In Progress,Normal
W_Task.00021,W_Sales_User.00003,Send Letter,Email,Task,750,On Hold,Normal
W_Task.00022,W_Sales_User.00005,Call,Call,Task,750,Completed,Normal
W_Task.00023,W_Sales_User.00007,Other,Meeting,Email,30,Not Started,Normal
W_Task.00024,W_Sales_User.00007,Send Letter,Email,Task,1500,Completed,Normal
W_Task.00025,W_Sales_User.00005,Other,Other,Email,3240,Not Started,Normal
W_Task.00026,W_Sales_User.00009,Call,Call,Email,960,Not Started,Normal
W_Task.00027,W_Sales_User.00006,Send Quote,Email,Call,720,In Progress,Normal
W_Task.00028,W_Sales_User.00006,Call,Meeting,Call,1440,On Hold,Normal
W_Task.00029,W_Sales_User.00005,Send Quote,Email,Email,1800,Completed,Normal
W_Task.00030,W_Sales_User.00003,Other,Prep,Email,1800,On Hold,Normal
W_Task.00031,W_Sales_User.00003,Send Letter,Email,Task,540,Completed,Normal
W_Task.00032,W_Sales_User.00009,Call,Meeting,Task,360,Not Started,Normal
W_Task.00033,W_Sales_User.00008,Other,Meeting,Task,2700,In Progress,Normal
W_Task.00034,W_Sales_User.00009,Send Letter,Email,Task,2250,Not Started,Normal
W_Task.00035,W_Sales_User.00006,Other,Other,Call,540,Not Started,High
W_Task.00036,W_Sales_User.00005,Send Quote,Email,Call,1080,Completed,Normal
W_Task.00037,W_Sales_User.00010,Call,Call,Task,4500,On Hold,Normal
W_Task.00038,W_Sales_User.00008,Other,Prep,Email,720,In Progress,High
W_Task.00039,W_Sales_User.00003,Other,Meeting,Email,360,Not Started,Normal
W_Task.00040,W_Sales_User.00002,Call,Call,Call,2400,On Hold,High
W_Task.00041,W_Sales_User.00004,Other,Meeting,Call,2160,Completed,Normal
W_Task.00042,W_Sales_User.00004,Send Letter,Email,Task,1200,Not Started,Normal
W_Task.00043,W_Sales_User.00009,Send Letter,Email,Task,300,In Progress,Normal
W_Task.00044,W_Sales_User.00007,Send Letter,Email,Call,720,On Hold,Normal
W_Task.00045,W_Sales_User.00006,Other,Prep,Call,1080,Completed,Normal
W_Task.00046,W_Sales_User.00004,Send Letter,Email,Task,1080,Not Started,Normal
W_Task.00047,W_Sales_User.00004,Send Quote,Email,Task,90,Not Started,Normal
W_Task.00048,W_Sales_User.00004,Send Quote,Email,Call,1080,Completed,Normal
W_Task.00049,W_Sales_User.00007,Send Letter,Email,Task,300,On Hold,Normal
W_Task.00050,W_Sales_User.00010,Other,Prep,Call,300,On Hold,Normal
W_Task.00051,W_Sales_User.00004,Send Letter,Email,Call,2880,On Hold,Normal
W_Task.00052,W_Sales_User.00009,Send Letter,Email,Call,360,In Progress,Normal
W_Task.00053,W_Sales_User.00001,Call,Call,Task,540,Completed,High
W_Task.00054,W_Sales_User.00004,Send Letter,Email,Call,5400,In Progress,High
W_Task.00055,W_Sales_User.00010,Send Letter,Email,Call,960,On Hold,Normal
W_Task.00056,W_Sales_User.00004,Call,Meeting,Call,600,In Progress,Normal
W_Task.00057,W_Sales_User.00001,Call,Call,Task,600,Not Started,Normal
W_Task.00058,W_Sales_User.00005,Call,Call,Call,270,In Progress,Normal
W_Task.00059,W_Sales_User.00003,Call,Meeting,Call,1800,On Hold,Normal
W_Task.00060,W_Sales_User.00003,Send Letter,Email,Call,1080,In Progress,High
W_Task.00061,W_Sales_User.00001,Send Letter,Email,Task,540,Not Started,Normal
W_Task.00062,W_Sales_User.00004,Other,Meeting,Email,540,Completed,Normal
W_Task.00063,W_Sales_User.00007,Send Letter,Email,Email,360,On Hold,Normal
W_Task.00064,W_Sales_User.00005,Call,Call,Email,1620,In Progress,Normal
W_Task.00065,W_Sales_User.00003,Send Quote,Email,Task,3600,Not Started,Normal
W_Task.00066,W_Sales_User.00001,Call,Meeting,Call,360,Not Started,Normal
W_Task.00067,W_Sales_User.00002,Other,Other,Email,3600,Not Started,Normal
W_Task.00068,W_Sales_User.00004,Call,Call,Task,360,On Hold,Normal
W_Task.00069,W_Sales_User.00006,Call,Meeting,Email,120,Completed,Normal
W_Task.00070,W_Sales_User.00010,Other,Prep,Email,480,On Hold,Normal
W_Task.00071,W_Sales_User.00010,Call,Call,Email,180,Completed,Normal
W_Task.00072,W_Sales_User.00008,Send Letter,Email,Email,600,On Hold,Normal
W_Task.00073,W_Sales_User.00002,Other,Other,Email,3600,Completed,Normal
W_Task.00074,W_Sales_User.00001,Send Letter,Email,Task,480,On Hold,Normal
W_Task.00075,W_Sales_User.00010,Call,Call,Task,1350,Not Started,Normal
W_Task.00076,W_Sales_User.00004,Other,Meeting,Call,2700,Completed,Normal
W_Task.00077,W_Sales_User.00008,Send Letter,Email,Email,150,Not Started,Normal
W_Task.00078,W_Sales_User.00007,Call,Call,Email,180,On Hold,Normal
W_Task.00079,W_Sales_User.00005,Send Quote,Email,Call,4500,On Hold,Normal
W_Task.00080,W_Sales_User.00004,Other,Meeting,Email,1080,On Hold,Normal
W_Task.00081,W_Sales_User.00009,Other,Meeting,Email,270,In Progress,Normal
W_Task.00082,W_Sales_User.00006,Call,Meeting,Email,150,On Hold,High
W_Task.00083,W_Sales_User.00003,Call,Meeting,Task,900,In Progress,Normal
W_Task.00084,W_Sales_User.00004,Other,Other,Call,3600,Completed,Normal
W_Task.00085,W_Sales_User.00003,Send Quote,Email,Task,4500,On Hold,Normal
W_Task.00086,W_Sales_User.00004,Call,Call,Email,1620,On Hold,Normal
W_Task.00087,W_Sales_User.00002,Send Letter,Email,Task,2160,On Hold,Normal
W_Task.00088,W_Sales_User.00005,Call,Call,Email,3000,Completed,Normal
W_Task.00089,W_Sales_User.00006,Send Letter,Email,Email,240,On Hold,Normal
W_Task.00090,W_Sales_User.00006,Send Letter,Email,Call,120,Not Started,Normal
W_Task.00091,W_Sales_User.00007,Call,Meeting,Call,1080,In Progress,Normal
W_Task.00092,W_Sales_User.00007,Call,Call,Call,1200,In Progress,Normal
W_Task.00093,W_Sales_User.00010,Other,Other,Task,360,In Progress,Normal
W_Task.00094,W_Sales_User.00001,Other,Meeting,Task,600,Completed,Normal
W_Task.00095,W_Sales_User.00002,Other,Meeting,Task,240,Completed,Normal
W_Task.00096,W_Sales_User.00009,Send Letter,Email,Task,450,Completed,Normal
W_Task.00097,W_Sales_User.00008,Send Letter,Email,Task,750,In Progress,Normal
W_Task.00098,W_Sales_User.00004,Call,Call,Call,2400,On Hold,Normal
W_Task.00099,W_Sales_User.00001,Send Letter,Email,Task,450,In Progress,High
W_Task.00100,W_Sales_User.00003,Send Letter,Email,Call,720,On Hold,High
