External_Id__c,Name,Owner.External_Id__c,NumberOfEmployees,AnnualRevenue,AccountSource,Type,Industry,BillingStreet,BillingCity,BillingState,BillingCountry,YearStarted,Ownership,Rating,CreatedDate__c
W_Account.6,CommercePrint,W_Sales_User.11,76,6719000,Partner,Corporate,Electronics,632 Justin Crossroad,Steventon,OH,USA,1900,Other,Warm,2016-11-04 00:00:00
W_Account.7,ScoreBoard,W_Sales_User.5,153,9734000,Marketing Event,Corporate,Retail,36983 Bush Curve,Frankville,WY,USA,2003,Private,Hot,2016-10-26 00:00:00
W_Account.16,TechSmart,W_Sales_User.6,54,8013000,Inbound Call,Corporate,Hospitality,093 Farley Fork,North Valerie,WA,USA,1944,Private,Warm,2016-01-26 00:00:00
W_Account.18,Key International,W_Sales_User.10,203,8799000,Partner,Corporate,Agriculture,6042 Kaitlin Harbor,East Scott,IA,USA,1928,Other,Cool,2016-10-02 00:00:00
W_Account.19,Compact Industries Inc,W_Sales_User.11,13,6951000,Referral,Corporate,Insurance,19753 Cindy Tunnel,Brooksport,MI,USA,1974,Other,Cool,2017-02-28 00:00:00
W_Account.20,Thomas & Betts Corporation,W_Sales_User.6,48,7067000,Partner,Corporate,Consulting,805 Flynn Trail,Lake Dianaville,CO,USA,1911,Subsidiary,Warm,2015-12-31 00:00:00
W_Account.22,Pinnacle Frames and Accents,W_Sales_User.2,138,7300000,Community,Corporate,Engineering,12942 Wilkinson Via,Port Christopherland,CA,USA,1882,Other,Hot,2016-10-25 00:00:00
W_Account.25,Scream Design Inc,W_Sales_User.10,44,3638000,Partner,Corporate,Technology,1780 Christine View,North Samuelhaven,NE,USA,1969,Other,Warm,2016-11-11 00:00:00
W_Account.27,Insteel Industries,W_Sales_User.2,8,9034000,Inbound Call,Corporate,Entertainment,1729 Bell Street,Fernandezland,WA,USA,1986,Private,Cool,2017-03-30 00:00:00
W_Account.30,"F+w Media, Inc",W_Sales_User.7,78,6084000,Community,Corporate,Agriculture,795 Thomas Green,New Nicole,SD,USA,1929,Private,Hot,2016-10-21 00:00:00
W_Account.33,Bridgeforce,W_Sales_User.1,152,7095000,Inbound Call,Corporate,Technology,89445 Lee Points,East James,OR,USA,1893,Private,Warm,2015-07-27 00:00:00
W_Account.34,Bain & Company,W_Sales_User.8,239,7922000,Referral,Corporate,Machinery,0720 Taylor Crescent,East Kylemouth,KS,USA,1934,Public,Warm,2015-12-12 00:00:00
W_Account.35,The Heestand Company,W_Sales_User.11,99,7119000,Social Media,Corporate,Food & Beverage,803 Brandon Course,Lake Holly,IL,USA,1994,Private,Cool,2016-11-03 00:00:00
W_Account.36,LTLNET,W_Sales_User.7,210,3083000,Data.com,Corporate,Recreation,4438 William Fort,Goodwinborough,OH,USA,1886,Other,Hot,2016-04-05 00:00:00
W_Account.42,eLawForumCorporation,W_Sales_User.3,191,4988000,Inbound Call,Corporate,Machinery,959 Williams Burg,East Laurieburgh,OR,USA,1992,Private,Hot,2015-08-11 00:00:00
