Account.External_Id__c,Owner.External_Id__c,CreatedDate__c,External_Id__c,Contact.External_Id__c,IsEscalated,CSAT__c,Origin,Type,Subject,Priority,Status,ClosedDate__c
W_Account.1,W_User.3,2017-02-22 00:00:00,W_Case.1,W_Contact.1,false,69,Mobile Device,Technical Issue,How do I become a partner?,Critical,Closed,2017-02-23 00:00:00
W_Account.1,W_User.3,2017-03-23 00:00:00,W_Case.2,W_Contact.1,false,68,Mobile Device,Account Support,Setup Instructions are missing,Medium,Closed,2017-03-26 00:00:00
W_Account.1,W_User.3,2017-04-12 00:00:00,W_Case.3,W_Contact.1,false,78,Twitter,Account Support,Where can I download your mobile app?,Critical,Closed,2017-04-15 00:00:00
W_Account.2,W_User.4,2016-03-07 00:00:00,W_Case.4,W_Contact.2,false,91,Email,Product Support,Bill payment clarification.,Critical,Waiting on Customer,
W_Account.2,W_User.4,2016-02-25 00:00:00,W_Case.5,W_Contact.2,false,69,Facebook,Product Support,Can I access your community from my mobile device?,Critical,Closed,2016-03-03 00:00:00
W_Account.5,W_User.3,2016-07-17 00:00:00,W_Case.6,W_Contact.5,false,96,LinkedIn,Account Support,How do I set up auto-payment?,Medium,Closed,2016-07-20 00:00:00
W_Account.5,W_User.3,2016-06-10 00:00:00,W_Case.7,W_Contact.5,false,61,Facebook,Technical Issue,Problem with my bill,Critical,Closed,2016-06-19 00:00:00
W_Account.5,W_User.3,2016-05-12 00:00:00,W_Case.8,W_Contact.5,false,95,Facebook,Product Support,How do I sign up for your email newsletter?,Medium,Closed,2016-05-18 00:00:00
W_Account.13,W_User.14,2016-03-19 00:00:00,W_Case.9,W_Contact.13,false,52,Google,Technical Issue,Incorrect bill,Low,Closed,2016-03-27 00:00:00
W_Account.13,W_User.14,2016-04-08 00:00:00,W_Case.10,W_Contact.13,false,87,Email,General,Product is shutting down intermittently,High,Closed,2016-04-13 00:00:00
W_Account.13,W_User.14,2016-04-04 00:00:00,W_Case.11,W_Contact.13,false,55,Q&A,General,Can't understand installation instructions,High,Closed,2016-04-12 00:00:00
W_Account.14,W_User.1,2017-03-01 00:00:00,W_Case.12,W_Contact.14,false,81,Phone,Account Support,Need most recent invoice,High,New,
W_Account.14,W_User.1,2017-03-20 00:00:00,W_Case.13,W_Contact.14,false,80,Google,Product Support,Billing issue,Critical,Closed,2017-03-25 00:00:00
W_Account.14,W_User.1,2017-01-15 00:00:00,W_Case.14,W_Contact.14,false,60,Twitter,General,Billing issue,Low,Closed,2017-01-23 00:00:00
W_Account.14,W_User.1,2017-01-19 00:00:00,W_Case.15,W_Contact.14,false,79,Email,Account Support,Can't understand installation instructions,High,Closed,2017-01-23 00:00:00
W_Account.14,W_User.1,2017-01-28 00:00:00,W_Case.16,W_Contact.14,false,72,Community,Account Support,Bill payment clarification.,High,Closed,2017-02-05 00:00:00
W_Account.15,W_User.16,2016-10-23 00:00:00,W_Case.17,W_Contact.15,false,74,Chat,General,How do I check my order status?,Medium,Closed,2016-11-01 00:00:00
W_Account.15,W_User.16,2016-10-13 00:00:00,W_Case.18,W_Contact.15,false,82,Chat,Technical Issue,Question on my most recent order.,Critical,Closed,2016-10-17 00:00:00
W_Account.16,W_User.3,2016-01-06 00:00:00,W_Case.19,W_Contact.16,false,80,Google,Account Support,Please change my contact information.,Critical,Closed,2016-01-07 00:00:00
W_Account.16,W_User.3,2015-12-18 00:00:00,W_Case.20,W_Contact.16,false,59,Phone,Product Support,Billing statement incorrect,Medium,Closed,2015-12-25 00:00:00
W_Account.16,W_User.3,2015-12-09 00:00:00,W_Case.21,W_Contact.16,false,63,Mobile Device,Product Support,Where do I submit a product suggestion?,Medium,Closed,2015-12-11 00:00:00
W_Account.16,W_User.3,2015-11-30 00:00:00,W_Case.22,W_Contact.16,false,83,Q&A,Technical Issue,Setup Instructions are missing,Low,Closed,2015-12-05 00:00:00
W_Account.16,W_User.3,2015-12-24 00:00:00,W_Case.23,W_Contact.16,false,67,Q&A,General,Need guidance getting started with my installation,Medium,Closed,2016-01-02 00:00:00
