What.External_Id__c,Owner.External_Id__c,CreatedDate__c,ActivityDate,External_Id__c,Subject,EventSubtype,DurationInMinutes,ActivityDateTime
W_Opportunity.127,W_Sales_User.11,2016-11-05 00:00:00,2016-11-11,W_Sales_Event.1,Pipeline 1:1,Event,0,2016-11-11 00:00:00
W_Opportunity.224,W_Sales_User.5,2016-11-17 10:21:50,2016-11-22,W_Sales_Event.2,Internal team strategy meeting,Event,0,2016-11-22 00:00:00
W_Opportunity.224,W_Sales_User.5,2016-11-03 04:34:55,2016-11-04,W_Sales_Event.3,Customer Briefing,Event,34,2016-11-04 00:00:00
W_Opportunity.502,W_Sales_User.6,2016-07-02 15:50:47,2016-07-06,W_Sales_Event.4,Discovery call,Event,0,2016-07-06 00:00:00
W_Opportunity.502,W_Sales_User.6,2016-06-07 07:04:11,2016-06-09,W_Sales_Event.5,Account Review,Event,0,2016-06-09 00:00:00
W_Opportunity.515,W_Sales_User.5,2016-04-24 09:20:09,2016-05-02,W_Sales_Event.6,Project Planning Meeting,Event,12,2016-05-02 00:00:00
W_Opportunity.515,W_Sales_User.5,2016-03-06 03:41:51,2016-03-12,W_Sales_Event.7,Account Review,Event,21,2016-03-12 00:00:00
W_Opportunity.569,W_Sales_User.10,2016-10-22 01:45:09,2016-11-04,W_Sales_Event.8,Account Planning,Event,0,2016-11-04 00:00:00
W_Opportunity.569,W_Sales_User.10,2016-10-13 02:16:46,2016-10-18,W_Sales_Event.9,Account Planning,Event,0,2016-10-18 00:00:00
W_Opportunity.689,W_Sales_User.11,2017-03-21 08:41:21,2017-03-23,W_Sales_Event.10,Internal team strategy meeting,Event,0,2017-03-23 00:00:00
W_Opportunity.689,W_Sales_User.11,2017-03-13 10:03:07,2017-03-22,W_Sales_Event.11,Onsite customer workshop,Event,53,2017-03-22 00:00:00
W_Opportunity.729,W_Sales_User.6,2016-01-08 08:43:46,2016-01-15,W_Sales_Event.12,Demonstration to Board of Directors,Event,0,2016-01-15 00:00:00
W_Opportunity.748,W_Sales_User.1,2017-03-18 11:59:15,2017-03-22,W_Sales_Event.13,Develop Mutual Plan Document,Event,0,2017-03-22 00:00:00
W_Opportunity.748,W_Sales_User.1,2017-02-09 19:12:25,2017-02-22,W_Sales_Event.14,Training Class,Event,0,2017-02-22 00:00:00
