External+AF8-Id+AF8AXw-c,Amount+AF8AXw-c,StageName+AF8AXw-c,ForecastCategory+AF8AXw-c,CloseDate+AF8AXw-c,CreatedDate+AF8AXw-c,Opportunity.External+AF8-Id+AF8AXw-c
W+AF8-OpportunityHistory.17502,6406,Qualification,Pipeline,2016+AC0-11+AC0-28,2016+AC0-11+AC0-04 00:00:00,W+AF8-Opportunity.X
W+AF8-OpportunityHistory.17501,6406,Closed Won,Closed,2016+AC0-11+AC0-28,2016+AC0-11+AC0-28 00:00:00,W+AF8-Opportunity.127
W+AF8-OpportunityHistory.17500,320301,Qualification,Pipeline,2017+AC0-01+AC0-17,2016+AC0-10+AC0-26 00:00:00,W+AF8-Opportunity.224
W+AF8-OpportunityHistory.17499,320301,Closed Lost,Omitted,2017+AC0-01+AC0-17,2016+AC0-11+AC0-21 00:00:00,W+AF8-Opportunity.224
W+AF8-OpportunityHistory.17498,320301,Negotiation,Pipeline,2017+AC0-01+AC0-17,2016+AC0-12+AC0-14 00:00:00,W+AF8-Opportunity.224
W+AF8-OpportunityHistory.17497,325301,Negotiation,Pipeline,2017+AC0-01+AC0-17,2016+AC0-12+AC0-24 00:00:00,W+AF8-Opportunity.224
W+AF8-OpportunityHistory.17496,325301,Negotiation,Pipeline,2017+AC0-01+AC0-22,2017+AC0-01+AC0-17 00:00:00,W+AF8-Opportunity.224
W+AF8-OpportunityHistory.17495,325301,Closed Lost,Omitted,2017+AC0-01+AC0-22,2017+AC0-01+AC0-22 00:00:00,W+AF8-Opportunity.224
W+AF8-OpportunityHistory.17494,8000,Qualification,Pipeline,2016+AC0-08+AC0-29,2016+AC0-06+AC0-02 00:00:00,W+AF8-Opportunity.502
W+AF8-OpportunityHistory.17493,8000,Closed Lost,Omitted,2016+AC0-08+AC0-29,2016+AC0-06+AC0-16 00:00:00,W+AF8-Opportunity.502
W+AF8-OpportunityHistory.17492,8000,Negotiation,BestCase,2016+AC0-08+AC0-29,2016+AC0-06+AC0-17 00:00:00,W+AF8-Opportunity.502
W+AF8-OpportunityHistory.17491,14000,Negotiation,BestCase,2016+AC0-08+AC0-29,2016+AC0-06+AC0-29 00:00:00,W+AF8-Opportunity.502
W+AF8-OpportunityHistory.17490,15000,Negotiation,BestCase,2016+AC0-08+AC0-29,2016+AC0-08+AC0-16 00:00:00,W+AF8-Opportunity.502
W+AF8-OpportunityHistory.17489,15000,Closed Lost,Omitted,2016+AC0-08+AC0-29,2016+AC0-08+AC0-29 00:00:00,W+AF8-Opportunity.502
W+AF8-OpportunityHistory.17488,97000,Qualification,Pipeline,2016+AC0-05+AC0-15,2016+AC0-01+AC0-26 00:00:00,W+AF8-Opportunity.515
W+AF8-OpportunityHistory.17487,97000,Needs Analysis,Pipeline,2016+AC0-05+AC0-15,2016+AC0-03+AC0-28 00:00:00,W+AF8-Opportunity.515
W+AF8-OpportunityHistory.17486,95000,Needs Analysis,Pipeline,2016+AC0-05+AC0-15,2016+AC0-04+AC0-08 00:00:00,W+AF8-Opportunity.515
W+AF8-OpportunityHistory.17485,95000,Closed Won,Closed,2016+AC0-05+AC0-15,2016+AC0-05+AC0-15 00:00:00,W+AF8-Opportunity.515
W+AF8-OpportunityHistory.17484,1000,Qualification,Pipeline,2016+AC0-10+AC0-25,2016+AC0-10+AC0-02 00:00:00,W+AF8-Opportunity.569
W+AF8-OpportunityHistory.17483,1000,Closed Won,Closed,2016+AC0-10+AC0-25,2016+AC0-10+AC0-25 00:00:00,W+AF8-Opportunity.569
W+AF8-OpportunityHistory.17482,29000,Qualification,Pipeline,2017+AC0-05+AC0-30,2017+AC0-02+AC0-28 00:00:00,W+AF8-Opportunity.689
W+AF8-OpportunityHistory.17481,29000,Proposal/Quote,Pipeline,2017+AC0-05+AC0-30,2017+AC0-04+AC0-01 00:00:00,W+AF8-Opportunity.689
W+AF8-OpportunityHistory.17480,24000,Proposal/Quote,Pipeline,2017+AC0-05+AC0-30,2017+AC0-04+AC0-26 00:00:00,W+AF8-Opportunity.689
