External_Id__c,Opportunity.External_Id__c,TotalPrice,PricebookEntry.External_Id__c,Quantity
W_OpportunityLineItem.1,W_Opportunity.127,6406,W_PricebookEntry.9,6
W_OpportunityLineItem.2,W_Opportunity.224,325301,W_PricebookEntry.7,455
W_OpportunityLineItem.3,W_Opportunity.502,15000,W_PricebookEntry.3,14
W_OpportunityLineItem.4,W_Opportunity.515,95000,W_PricebookEntry.3,86
W_OpportunityLineItem.5,W_Opportunity.569,1000,W_PricebookEntry.7,2
W_OpportunityLineItem.6,W_Opportunity.689,24000,W_PricebookEntry.10,15
W_OpportunityLineItem.7,W_Opportunity.729,348837,W_PricebookEntry.10,210
W_OpportunityLineItem.8,W_Opportunity.748,100759,W_PricebookEntry.10,61
W_OpportunityLineItem.9,W_Opportunity.769,8800,W_PricebookEntry.11,4
W_OpportunityLineItem.10,W_Opportunity.793,75000,W_PricebookEntry.5,59
W_OpportunityLineItem.11,W_Opportunity.868,86808,W_PricebookEntry.9,69
W_OpportunityLineItem.12,W_Opportunity.907,12000,W_PricebookEntry.7,17
W_OpportunityLineItem.13,W_Opportunity.956,300000,W_PricebookEntry.10,180
W_OpportunityLineItem.14,W_Opportunity.1012,12269,W_PricebookEntry.3,11
W_OpportunityLineItem.15,W_Opportunity.1037,15501,W_PricebookEntry.3,14
W_OpportunityLineItem.16,W_Opportunity.1047,10000,W_PricebookEntry.10,6
W_OpportunityLineItem.17,W_Opportunity.1051,10000,W_PricebookEntry.10,6
W_OpportunityLineItem.18,W_Opportunity.1056,10000,W_PricebookEntry.10,6
W_OpportunityLineItem.19,W_Opportunity.1057,40003,W_PricebookEntry.3,36
W_OpportunityLineItem.20,W_Opportunity.1184,230000,W_PricebookEntry.6,84
W_OpportunityLineItem.21,W_Opportunity.1395,37774,W_PricebookEntry.3,34
W_OpportunityLineItem.22,W_Opportunity.1597,300000,W_PricebookEntry.3,269
W_OpportunityLineItem.23,W_Opportunity.1599,186000,W_PricebookEntry.10,112
W_OpportunityLineItem.24,W_Opportunity.1640,250000,W_PricebookEntry.9,198
W_OpportunityLineItem.25,W_Opportunity.1684,51300,W_PricebookEntry.3,46
W_OpportunityLineItem.26,W_Opportunity.1723,150000,W_PricebookEntry.11,63
W_OpportunityLineItem.27,W_Opportunity.1760,30000,W_PricebookEntry.9,24
W_OpportunityLineItem.28,W_Opportunity.1772,150000,W_PricebookEntry.3,135
W_OpportunityLineItem.29,W_Opportunity.1844,50000,W_PricebookEntry.11,21
W_OpportunityLineItem.30,W_Opportunity.1853,60000,W_PricebookEntry.3,54
W_OpportunityLineItem.31,W_Opportunity.1917,350000,W_PricebookEntry.10,210
W_OpportunityLineItem.32,W_Opportunity.1948,55214,W_PricebookEntry.3,50
W_OpportunityLineItem.33,W_Opportunity.2012,30000,W_PricebookEntry.8,28
W_OpportunityLineItem.34,W_Opportunity.2027,30640,W_PricebookEntry.7,43
W_OpportunityLineItem.35,W_Opportunity.2044,10000,W_PricebookEntry.3,9
W_OpportunityLineItem.36,W_Opportunity.2054,250000,W_PricebookEntry.10,150
W_OpportunityLineItem.37,W_Opportunity.2218,197674,W_PricebookEntry.3,178
W_OpportunityLineItem.38,W_Opportunity.2234,60000,W_PricebookEntry.3,54
W_OpportunityLineItem.39,W_Opportunity.2351,50000,W_PricebookEntry.7,70
W_OpportunityLineItem.40,W_Opportunity.2366,2000,W_PricebookEntry.10,2
W_OpportunityLineItem.41,W_Opportunity.2495,13496,W_PricebookEntry.3,13
W_OpportunityLineItem.42,W_Opportunity.2498,7361,W_PricebookEntry.3,7
W_OpportunityLineItem.43,W_Opportunity.2499,15501,W_PricebookEntry.9,13
W_OpportunityLineItem.44,W_Opportunity.2520,1000,W_PricebookEntry.2,1
W_OpportunityLineItem.45,W_Opportunity.2540,77507,W_PricebookEntry.4,47
W_OpportunityLineItem.46,W_Opportunity.2707,31500,W_PricebookEntry.3,29
W_OpportunityLineItem.47,W_Opportunity.2775,12576,W_PricebookEntry.3,12
W_OpportunityLineItem.48,W_Opportunity.2819,100000,W_PricebookEntry.7,140
W_OpportunityLineItem.49,W_Opportunity.2879,0,W_PricebookEntry.10,1
W_OpportunityLineItem.50,W_Opportunity.2903,500000,W_PricebookEntry.4,302
W_OpportunityLineItem.51,W_Opportunity.2971,69000,W_PricebookEntry.9,55
W_OpportunityLineItem.52,W_Opportunity.2973,13157,W_PricebookEntry.9,11
W_OpportunityLineItem.53,W_Opportunity.2999,310029,W_PricebookEntry.4,187
W_OpportunityLineItem.54,W_Opportunity.3214,36809,W_PricebookEntry.10,23
W_OpportunityLineItem.55,W_Opportunity.3223,100000,W_PricebookEntry.9,80
W_OpportunityLineItem.56,W_Opportunity.3277,5000,W_PricebookEntry.3,5
W_OpportunityLineItem.57,W_Opportunity.3407,200000,W_PricebookEntry.8,181
W_OpportunityLineItem.58,W_Opportunity.3473,40000,W_PricebookEntry.10,24
W_OpportunityLineItem.59,W_Opportunity.3490,116279,W_PricebookEntry.3,105
W_OpportunityLineItem.60,W_Opportunity.3549,50000,W_PricebookEntry.5,39
W_OpportunityLineItem.61,W_Opportunity.3616,132373,W_PricebookEntry.10,80
W_OpportunityLineItem.62,W_Opportunity.3629,50000,W_PricebookEntry.11,21
W_OpportunityLineItem.63,W_Opportunity.3662,1400,W_PricebookEntry.7,2
W_OpportunityLineItem.64,W_Opportunity.3680,95008,W_PricebookEntry.3,86
W_OpportunityLineItem.65,W_Opportunity.3682,50000,W_PricebookEntry.11,21
W_OpportunityLineItem.66,W_Opportunity.3685,95000,W_PricebookEntry.3,86
W_OpportunityLineItem.67,W_Opportunity.3722,50000,W_PricebookEntry.5,39
W_OpportunityLineItem.68,W_Opportunity.3772,400000,W_PricebookEntry.10,240
W_OpportunityLineItem.69,W_Opportunity.3835,15000,W_PricebookEntry.7,21
W_OpportunityLineItem.70,W_Opportunity.3961,22302,W_PricebookEntry.3,20
W_OpportunityLineItem.71,W_Opportunity.4050,0,W_PricebookEntry.10,1
W_OpportunityLineItem.72,W_Opportunity.4103,32000,W_PricebookEntry.6,12
W_OpportunityLineItem.73,W_Opportunity.4126,27065,W_PricebookEntry.7,38
W_OpportunityLineItem.74,W_Opportunity.4129,0,W_PricebookEntry.7,1
W_OpportunityLineItem.75,W_Opportunity.4156,250000,W_PricebookEntry.6,91
W_OpportunityLineItem.76,W_Opportunity.4173,30000,W_PricebookEntry.9,24
W_OpportunityLineItem.77,W_Opportunity.4353,38753,W_PricebookEntry.4,24
W_OpportunityLineItem.78,W_Opportunity.4577,65000,W_PricebookEntry.9,52
W_OpportunityLineItem.79,W_Opportunity.4590,31002,W_PricebookEntry.9,25
W_OpportunityLineItem.80,W_Opportunity.4596,1216,W_PricebookEntry.7,2
W_OpportunityLineItem.81,W_Opportunity.4731,232522,W_PricebookEntry.11,97
W_OpportunityLineItem.82,W_Opportunity.4767,150000,W_PricebookEntry.9,119
W_OpportunityLineItem.83,W_Opportunity.4863,31002,W_PricebookEntry.8,28
W_OpportunityLineItem.84,W_Opportunity.4875,20000,W_PricebookEntry.3,18
W_OpportunityLineItem.85,W_Opportunity.4926,30000,W_PricebookEntry.4,19
W_OpportunityLineItem.86,W_Opportunity.4929,40000,W_PricebookEntry.9,32
W_OpportunityLineItem.87,W_Opportunity.4970,20000,W_PricebookEntry.3,18
W_OpportunityLineItem.88,W_Opportunity.4976,100000,W_PricebookEntry.10,60
W_OpportunityLineItem.89,W_Opportunity.5027,23252,W_PricebookEntry.7,33
W_OpportunityLineItem.90,W_Opportunity.5069,122699,W_PricebookEntry.3,110
W_OpportunityLineItem.91,W_Opportunity.5146,60000,W_PricebookEntry.7,84
W_OpportunityLineItem.92,W_Opportunity.5175,631954,W_PricebookEntry.4,382
W_OpportunityLineItem.93,W_Opportunity.5182,9202,W_PricebookEntry.3,9
W_OpportunityLineItem.94,W_Opportunity.5230,50000,W_PricebookEntry.10,30
W_OpportunityLineItem.95,W_Opportunity.5256,50000,W_PricebookEntry.3,45
W_OpportunityLineItem.96,W_Opportunity.5265,20000,W_PricebookEntry.11,9
W_OpportunityLineItem.97,W_Opportunity.5286,25000,W_PricebookEntry.7,35
W_OpportunityLineItem.98,W_Opportunity.5292,175000,W_PricebookEntry.9,139
W_OpportunityLineItem.99,W_Opportunity.5312,243342,W_PricebookEntry.9,193
W_OpportunityLineItem.100,W_Opportunity.5342,30000,W_PricebookEntry.5,24
W_OpportunityLineItem.101,W_Opportunity.5375,10000,W_PricebookEntry.3,9
W_OpportunityLineItem.102,W_Opportunity.5430,5000,W_PricebookEntry.7,7
W_OpportunityLineItem.103,W_Opportunity.5532,25766,W_PricebookEntry.8,24
W_OpportunityLineItem.104,W_Opportunity.5668,50000,W_PricebookEntry.4,31
W_OpportunityLineItem.105,W_Opportunity.5676,624000,W_PricebookEntry.10,375
W_OpportunityLineItem.106,W_Opportunity.5741,31002,W_PricebookEntry.7,44
W_OpportunityLineItem.107,W_Opportunity.5743,7490,W_PricebookEntry.7,11
W_OpportunityLineItem.108,W_Opportunity.5849,100000,W_PricebookEntry.7,140
W_OpportunityLineItem.109,W_Opportunity.5873,0,W_PricebookEntry.9,1
W_OpportunityLineItem.110,W_Opportunity.5874,36000,W_PricebookEntry.9,29
W_OpportunityLineItem.111,W_Opportunity.5878,30000,W_PricebookEntry.3,27
W_OpportunityLineItem.112,W_Opportunity.5913,6000,W_PricebookEntry.9,5
W_OpportunityLineItem.113,W_Opportunity.5916,3000,W_PricebookEntry.9,3
W_OpportunityLineItem.114,W_Opportunity.5936,2500,W_PricebookEntry.3,3
W_OpportunityLineItem.115,W_Opportunity.5996,25000,W_PricebookEntry.3,23
W_OpportunityLineItem.116,W_Opportunity.6005,3500,W_PricebookEntry.4,3
W_OpportunityLineItem.117,W_Opportunity.6037,5000,W_PricebookEntry.3,5
W_OpportunityLineItem.118,W_Opportunity.6038,35000,W_PricebookEntry.3,32
W_OpportunityLineItem.119,W_Opportunity.6119,348837,W_PricebookEntry.11,146
W_OpportunityLineItem.120,W_Opportunity.6135,25000,W_PricebookEntry.7,35
W_OpportunityLineItem.121,W_Opportunity.6159,9809,W_PricebookEntry.3,9
W_OpportunityLineItem.122,W_Opportunity.6196,176716,W_PricebookEntry.5,138
W_OpportunityLineItem.123,W_Opportunity.6230,15501,W_PricebookEntry.11,7
W_OpportunityLineItem.124,W_Opportunity.6233,4588,W_PricebookEntry.9,4
W_OpportunityLineItem.125,W_Opportunity.6303,55214,W_PricebookEntry.3,50
W_OpportunityLineItem.126,W_Opportunity.6343,120000,W_PricebookEntry.4,73
W_OpportunityLineItem.127,W_Opportunity.6514,50000,W_PricebookEntry.9,40
W_OpportunityLineItem.128,W_Opportunity.6523,40000,W_PricebookEntry.3,36
W_OpportunityLineItem.129,W_Opportunity.6570,10000,W_PricebookEntry.9,8
W_OpportunityLineItem.130,W_Opportunity.6594,116261,W_PricebookEntry.4,71
W_OpportunityLineItem.131,W_Opportunity.6657,10851,W_PricebookEntry.9,9
W_OpportunityLineItem.132,W_Opportunity.6728,613,W_PricebookEntry.9,1
W_OpportunityLineItem.133,W_Opportunity.6808,0,W_PricebookEntry.9,1
W_OpportunityLineItem.134,W_Opportunity.6841,131578,W_PricebookEntry.8,119
W_OpportunityLineItem.135,W_Opportunity.6911,150000,W_PricebookEntry.3,135
W_OpportunityLineItem.136,W_Opportunity.6928,150000,W_PricebookEntry.11,63
W_OpportunityLineItem.137,W_Opportunity.6988,31002,W_PricebookEntry.9,25
W_OpportunityLineItem.138,W_Opportunity.7037,200000,W_PricebookEntry.3,180
W_OpportunityLineItem.139,W_Opportunity.7062,25000,W_PricebookEntry.3,23
W_OpportunityLineItem.140,W_Opportunity.7079,25000,W_PricebookEntry.7,35
W_OpportunityLineItem.141,W_Opportunity.7081,15501,W_PricebookEntry.11,7
W_OpportunityLineItem.142,W_Opportunity.7206,218000,W_PricebookEntry.8,197
W_OpportunityLineItem.143,W_Opportunity.7211,15000,W_PricebookEntry.7,21
W_OpportunityLineItem.144,W_Opportunity.7245,155014,W_PricebookEntry.9,123
W_OpportunityLineItem.145,W_Opportunity.7332,22900,W_PricebookEntry.5,18
W_OpportunityLineItem.146,W_Opportunity.7353,50000,W_PricebookEntry.5,39
W_OpportunityLineItem.147,W_Opportunity.7411,31002,W_PricebookEntry.9,25
W_OpportunityLineItem.148,W_Opportunity.7532,348837,W_PricebookEntry.3,313
W_OpportunityLineItem.149,W_Opportunity.7547,150000,W_PricebookEntry.6,55
W_OpportunityLineItem.150,W_Opportunity.7554,10000,W_PricebookEntry.9,8
W_OpportunityLineItem.151,W_Opportunity.7580,46504,W_PricebookEntry.3,42
W_OpportunityLineItem.152,W_Opportunity.7680,76687,W_PricebookEntry.10,47
W_OpportunityLineItem.153,W_Opportunity.7693,10031,W_PricebookEntry.9,8
W_OpportunityLineItem.154,W_Opportunity.7749,128520,W_PricebookEntry.7,180
W_OpportunityLineItem.155,W_Opportunity.7755,10851,W_PricebookEntry.8,10
W_OpportunityLineItem.156,W_Opportunity.7758,300000,W_PricebookEntry.11,125
W_OpportunityLineItem.157,W_Opportunity.7799,19736,W_PricebookEntry.9,16
W_OpportunityLineItem.158,W_Opportunity.7802,67105,W_PricebookEntry.9,54
W_OpportunityLineItem.159,W_Opportunity.7821,20000,W_PricebookEntry.5,16
