What.External_Id__c,Owner.External_Id__c,CreatedDate__c,ActivityDate,External_Id__c,TaskSubtype,CallDurationInSeconds,CallDisposition,CallType,Status,Priority,Subject
W_Opportunity.4,W_User.3,2017-01-26 20:45:44,2017-02-08,W_Sales_Task.1,Task,1830,Call Successful,Internal,In Progress,Normal,Review Case with Customer
W_Opportunity.51,W_User.4,2016-01-09 04:35:24,2016-01-09,W_Sales_Task.2,Call,920,Busy,Outbound,Completed,Normal,Send Thank You Email
W_Opportunity.51,W_User.4,2016-01-17 07:51:22,2016-01-17,W_Sales_Task.3,Task,1210,No Answer,Internal,In Progress,Normal,Called Decision Maker - CIO
W_Opportunity.136,W_User.3,2016-07-24 11:34:38,2016-07-25,W_Sales_Task.4,Task,2170,No Answer,Internal,On Hold,Normal,Attend Social Media Best Practices Webinar
W_Opportunity.136,W_User.3,2016-07-18 15:13:33,2016-07-30,W_Sales_Task.5,Task,1330,Busy,Outbound,Completed,Normal,Run Facebook Promotion to Boost Engagement
W_Opportunity.160,W_User.19,2016-08-11 01:28:32,2016-08-13,W_Sales_Task.6,Task,2580,No Answer,Outbound,Completed,Normal,Complete and Send Close Plan
W_Opportunity.175,W_User.5,2016-02-12 00:09:45,2016-02-23,W_Sales_Task.7,Email,3270,Call Successful,Outbound,Completed,Normal,Attend Social Media Best Practices Webinar
W_Opportunity.175,W_User.5,2016-02-11 09:58:01,2016-02-12,W_Sales_Task.8,Task,1510,Call Successful,Outbound,On Hold,Normal,Review referrals
W_Opportunity.286,W_User.19,2016-10-08 17:43:56,2016-10-11,W_Sales_Task.9,Task,530,Left Voicemail,Internal,Not Started,High,Follow-up Call
W_Opportunity.288,W_User.19,2017-04-28 14:36:03,2017-05-02,W_Sales_Task.10,Task,1600,Call Successful,Internal,In Progress,Normal,Complete My 2nd Team Presentation
W_Opportunity.289,W_User.14,2016-12-12 01:56:54,2016-12-23,W_Sales_Task.11,Call,1530,Call Successful,Inbound,On Hold,Normal,Call Customer for Update
W_Opportunity.289,W_User.14,2016-12-01 23:08:20,2016-12-04,W_Sales_Task.12,Task,2470,Appointment Set,Inbound,Open,High,Call
W_Opportunity.328,W_User.1,2015-12-16 14:12:35,2015-12-23,W_Sales_Task.13,Task,1470,Left Message,Internal,On Hold,High,Send Revised Pricing to Customer
W_Opportunity.356,W_User.3,2017-03-10 05:20:18,2017-03-15,W_Sales_Task.14,Task,2950,Appointment Set,Outbound,In Progress,Normal,Discovery Call with Management Team
W_Opportunity.375,W_User.14,2016-01-12 07:05:18,2016-01-23,W_Sales_Task.15,Task,2250,Call Successful,Outbound,Not Started,Normal,Touch Base with Director of Sales
W_Opportunity.375,W_User.14,2016-01-23 14:26:08,2016-01-27,W_Sales_Task.16,Task,3280,Call Successful,Outbound,Not Started,Normal,Social Media Strategy Meeting
W_Opportunity.398,W_User.19,2016-10-05 02:16:19,2016-10-09,W_Sales_Task.17,Task,1940,Call Successful,Outbound,In Progress,High,Cold Call with Prospect
W_Opportunity.410,W_User.1,2016-12-30 23:27:36,2017-01-10,W_Sales_Task.18,Task,1860,Call Unsuccessful,Outbound,Not Started,Normal,Review Proposal and Update Pricing
W_Opportunity.414,W_User.16,2016-08-16 04:23:48,2016-08-19,W_Sales_Task.19,Task,1730,Left Voicemail,Outbound,In Progress,Normal,Customer Feedback Session
W_Opportunity.416,W_User.19,2016-09-30 14:22:35,2016-10-13,W_Sales_Task.20,Task,1370,No Answer,Outbound,Not Started,Normal,Follow-Up From Meeting
W_Opportunity.451,W_User.3,2015-08-12 15:33:57,2015-08-16,W_Sales_Task.21,Task,800,Appointment Set,Internal,On Hold,Normal,Deal Discussion
W_Opportunity.479,W_User.3,2016-08-10 22:37:50,2016-08-18,W_Sales_Task.22,Task,1010,Left Voicemail,Inbound,Not Started,Normal,Follow-Up From Meeting
W_Opportunity.479,W_User.3,2016-07-25 22:13:09,2016-08-02,W_Sales_Task.23,Task,170,Call Successful,Outbound,Completed,Normal,Manager Deal Update
W_Opportunity.557,W_User.18,2015-12-12 06:06:33,2015-12-13,W_Sales_Task.24,Task,2240,Call Successful,Internal,Not Started,Normal,Prepare for Qualification Call
W_Opportunity.557,W_User.18,2016-01-16 23:37:28,2016-01-28,W_Sales_Task.25,Task,950,Call Successful,Inbound,Completed,Normal,Notes from Discussion
W_Opportunity.563,W_User.17,2015-10-25 09:43:50,2015-11-01,W_Sales_Task.26,Task,1470,Call Successful,Internal,Open,Normal,Schedule Negotiation Call
W_Opportunity.616,W_User.5,2016-07-28 23:07:02,2016-08-08,W_Sales_Task.27,Task,1660,Appointment Set,Internal,Completed,Normal,Call
W_Opportunity.634,W_User.16,2015-10-27 00:00:00,2015-11-05,W_Sales_Task.28,Task,2110,Call Successful,Outbound,Completed,Normal,Deal Discussion
W_Opportunity.634,W_User.16,2015-10-27 00:00:00,2015-11-03,W_Sales_Task.29,Task,2690,Left Voicemail,Inbound,Completed,Normal,Customer Feedback Session
W_Opportunity.677,W_User.2,2015-09-21 08:29:23,2015-09-26,W_Sales_Task.30,Email,1350,Call Successful,Inbound,Completed,Normal,Social Media Strategy Meeting
W_Opportunity.677,W_User.2,2015-09-21 21:49:28,2015-09-30,W_Sales_Task.31,Task,580,Contacted,Internal,Completed,Normal,Request Needs Document
W_Opportunity.724,W_User.4,2015-07-28 17:23:38,2015-08-01,W_Sales_Task.32,Task,180,Appointment Set,Inbound,Not Started,Normal,Cleanup Current Pipeline by End of Month
W_Opportunity.727,W_User.17,2017-03-19 21:54:05,2017-03-25,W_Sales_Task.33,Task,2650,Appointment Set,Outbound,On Hold,Normal,Get Requirements from Prospect
W_Opportunity.727,W_User.17,2017-04-23 16:00:02,2017-05-05,W_Sales_Task.34,Task,370,Busy,Outbound,Completed,Normal,Closing Call
W_Opportunity.753,W_User.15,2017-01-26 13:40:42,2017-01-27,W_Sales_Task.35,Task,1790,Call Unsuccessful,Inbound,Completed,High,Follow-up Call
W_Opportunity.753,W_User.15,2017-01-24 09:52:57,2017-01-27,W_Sales_Task.36,Task,2710,Left Message,Internal,In Progress,Normal,Develop Outbound Call Script and Offers
W_Opportunity.755,W_User.5,2017-01-07 00:18:08,2017-01-11,W_Sales_Task.37,Task,780,Call Successful,Outbound,On Hold,High,Certification Training Review
W_Opportunity.761,W_User.4,2016-06-18 14:20:54,2016-06-22,W_Sales_Task.38,Task,180,Call Successful,Outbound,In Progress,Normal,Prepare for Discovery Meeting
W_Opportunity.761,W_User.4,2016-05-21 15:32:31,2016-05-24,W_Sales_Task.39,Task,1710,Call Successful,Internal,Completed,Normal,Onsite Presentation to Executive Team
W_Opportunity.769,W_User.1,2016-08-03 19:31:50,2016-08-10,W_Sales_Task.40,Task,750,Appointment Set,Outbound,In Progress,High,Discuss Customer Requirements
W_Opportunity.769,W_User.1,2016-07-28 12:39:17,2016-07-29,W_Sales_Task.41,Task,3340,Call Successful,Outbound,Not Started,Normal,Call with VP of Customer Service
W_Opportunity.793,W_User.20,2016-02-17 15:11:20,2016-02-26,W_Sales_Task.42,Task,180,Left Message,Inbound,Completed,Normal,Notes from Discovery Call
W_Opportunity.848,W_User.5,2015-12-17 14:00:42,2015-12-29,W_Sales_Task.43,Task,1890,Call Successful,Internal,In Progress,Normal,Qualification Notes
