Label,Name,Type,ReferenceTo,Length,Precision,Scale,IsExternalId,IsRequired
Channel,Channel,Text,,100,0,0,FALSE,TRUE
Store,Store,Text,User,100,0,0,FALSE,TRUE
Product_Family_KB__c,Product_Family_KB__c,Text,,100,0,0,FALSE,TRUE
Priority,Priority,Text,,100,15,2,FALSE,TRUE
Average Age,Average Age,Text,,100,0,0,FALSE,FALSE
Percent Male,Percent Male,Text,,100,0,0,FALSE,FALSE
SLA,SLA,Text,,100,0,0,FALSE,TRUE
Daily Revenue,Daily Revenue,Text,,100,0,0,FALSE,FALSE
Reason,Reason,Text,,100,0,0,FALSE,TRUE
Reg Price,Reg Price,Text,,100,0,0,FALSE,FALSE
Type_of_Support__c,Type_of_Support__c,Text,,100,0,0,FALSE,TRUE
Price,Price,Text,,100,0,0,FALSE,FALSE
Quantity,Quantity,Text,,100,0,0,FALSE,FALSE
Cost,Cost,Text,,100,0,0,FALSE,FALSE
Profit,Profit,Text,,100,0,0,FALSE,FALSE
CSAT__c,CSAT__c,Text,,100,0,0,FALSE,TRUE
Profit Log,Profit Log,Text,,100,0,0,FALSE,FALSE
Outlier,Outlier,Text,,100,0,0,FALSE,FALSE
Status,Status,Text,,100,0,0,FALSE,TRUE
First_Contact_Close__c,First_Contact_Close__c,boolean,,100,0,0,FALSE,TRUE
time_open,time_open,int,,100,0,0,FALSE,TRUE
UserRole.Name,UserRole.Name,Text,,100,0,0,FALSE,TRUE
User.External_Id__c,User.External_Id__c,Text,User,100,0,0,TRUE,TRUE
close_date_offset,close_date_offset,int,,100,0,0,FALSE,FALSE
Account.External_Id__c,Account.External_Id__c,Text,Account,100,0,0,TRUE,TRUE
account_case_ct,account_case_ct,int,,100,0,0,FALSE,FALSE
DateOpened,DateOpened,Date,,100,0,0,FALSE,TRUE
DateClosed,DateClosed,Date,,100,0,0,FALSE,TRUE
Ext_Id__c,Ext_Id__c,Text,,50,0,0,TRUE,TRUE
IsEscalated,IsEscalated,boolean,,100,0,0,FALSE,TRUE
