External_Id__c,Owner.External_Id__c,Subject,Type,DurationInMinutes,Status,Priority,CallDisposition,CallType,ActivityDateTime
W_Services_Event.00001,W_Services_User.00002,Send Quote,Email,0,Not Started,Normal,Warm,Internal,2017-02-10 22:11:47
W_Services_Event.00002,W_Services_User.00012,Send Quote,Email,0,Not Started,Normal,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00003,W_Services_User.00014,Send Quote,Email,0,Completed,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00004,W_Services_User.00020,Send Letter,Email,50,In Progress,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00005,W_Services_User.00018,Call,Meeting,57,Completed,Normal,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00006,W_Services_User.00015,Send Quote,Email,24,Completed,Normal,Hot,Outbound,2017-02-10 22:11:47
W_Services_Event.00007,W_Services_User.00006,Call,Call,30,In Progress,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00008,W_Services_User.00011,Send Quote,Email,0,Completed,Normal,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00009,W_Services_User.00002,Other,Other,46,In Progress,Normal,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00010,W_Services_User.00011,Other,Other,51,On Hold,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00011,W_Services_User.00011,Send Letter,Email,26,Completed,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00012,W_Services_User.00002,Send Letter,Email,58,Completed,High,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00013,W_Services_User.00008,Call,Call,59,In Progress,Normal,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00014,W_Services_User.00007,Other,Meeting,0,In Progress,High,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00015,W_Services_User.00004,Call,Call,0,Not Started,Normal,Hot,Outbound,2017-02-10 22:11:47
W_Services_Event.00016,W_Services_User.00010,Other,Other,0,On Hold,High,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00017,W_Services_User.00008,Send Letter,Email,51,On Hold,High,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00018,W_Services_User.00003,Send Quote,Email,0,On Hold,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00019,W_Services_User.00004,Call,Call,0,On Hold,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00020,W_Services_User.00019,Other,Prep,0,Completed,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00021,W_Services_User.00005,Call,Call,12,On Hold,Normal,Hot,Outbound,2017-02-10 22:11:47
W_Services_Event.00022,W_Services_User.00005,Other,Prep,0,Not Started,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00023,W_Services_User.00003,Send Letter,Email,0,In Progress,Normal,Warm,Internal,2017-02-10 22:11:47
W_Services_Event.00024,W_Services_User.00014,Other,Meeting,27,Not Started,Normal,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00025,W_Services_User.00011,Call,Meeting,44,On Hold,High,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00026,W_Services_User.00001,Call,Call,59,Not Started,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00027,W_Services_User.00020,Send Letter,Email,12,On Hold,Normal,Hot,Inbound,2017-02-10 22:11:47
W_Services_Event.00028,W_Services_User.00018,Call,Call,0,Completed,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00029,W_Services_User.00014,Other,Other,0,Not Started,Normal,Cold,Outbound,2017-02-10 22:11:47
W_Services_Event.00030,W_Services_User.00020,Send Quote,Email,0,Completed,Normal,Cold,Outbound,2017-02-10 22:11:47
W_Services_Event.00031,W_Services_User.00006,Call,Call,0,Completed,High,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00032,W_Services_User.00007,Call,Call,0,In Progress,Normal,Hot,Inbound,2017-02-10 22:11:47
W_Services_Event.00033,W_Services_User.00001,Send Letter,Email,1,Completed,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00034,W_Services_User.00002,Call,Call,1,On Hold,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00035,W_Services_User.00016,Send Letter,Email,34,Completed,Normal,Cold,Outbound,2017-02-10 22:11:47
W_Services_Event.00036,W_Services_User.00018,Send Quote,Email,31,Not Started,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00037,W_Services_User.00007,Other,Meeting,46,In Progress,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00038,W_Services_User.00014,Send Letter,Email,6,Not Started,Normal,Cold,Outbound,2017-02-10 22:11:47
W_Services_Event.00039,W_Services_User.00009,Other,Prep,22,Not Started,High,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00040,W_Services_User.00015,Call,Meeting,0,In Progress,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00041,W_Services_User.00001,Other,Meeting,0,In Progress,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00042,W_Services_User.00005,Other,Meeting,15,Completed,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00043,W_Services_User.00014,Other,Other,17,In Progress,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00044,W_Services_User.00016,Call,Call,45,Completed,Normal,Cold,Internal,2017-02-10 22:11:47
W_Services_Event.00045,W_Services_User.00013,Send Quote,Email,0,Completed,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00046,W_Services_User.00011,Call,Call,47,Not Started,Normal,Hot,Outbound,2017-02-10 22:11:47
W_Services_Event.00047,W_Services_User.00011,Other,Meeting,57,Completed,Normal,Hot,Outbound,2017-02-10 22:11:47
W_Services_Event.00048,W_Services_User.00012,Call,Meeting,0,In Progress,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00049,W_Services_User.00013,Send Letter,Email,10,Completed,Normal,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00050,W_Services_User.00006,Send Letter,Email,5,In Progress,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00051,W_Services_User.00002,Call,Call,0,In Progress,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00052,W_Services_User.00019,Other,Other,6,In Progress,Normal,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00053,W_Services_User.00013,Other,Prep,0,Not Started,High,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00054,W_Services_User.00005,Send Letter,Email,0,Not Started,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00055,W_Services_User.00014,Other,Other,15,Completed,High,Hot,Inbound,2017-02-10 22:11:47
W_Services_Event.00056,W_Services_User.00011,Send Letter,Email,10,Completed,Normal,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00057,W_Services_User.00009,Send Quote,Email,0,Not Started,Normal,Warm,Internal,2017-02-10 22:11:47
W_Services_Event.00058,W_Services_User.00018,Call,Call,14,On Hold,High,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00059,W_Services_User.00018,Send Letter,Email,0,On Hold,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00060,W_Services_User.00012,Send Letter,Email,0,In Progress,Normal,Hot,Inbound,2017-02-10 22:11:47
W_Services_Event.00061,W_Services_User.00013,Send Quote,Email,0,In Progress,Normal,Hot,Outbound,2017-02-10 22:11:47
W_Services_Event.00062,W_Services_User.00018,Send Letter,Email,0,Not Started,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00063,W_Services_User.00010,Send Letter,Email,38,Completed,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00064,W_Services_User.00005,Send Letter,Email,50,In Progress,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00065,W_Services_User.00018,Send Letter,Email,54,In Progress,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00066,W_Services_User.00002,Send Quote,Email,0,Not Started,Normal,Hot,Outbound,2017-02-10 22:11:47
W_Services_Event.00067,W_Services_User.00016,Send Letter,Email,0,Not Started,Normal,Hot,Internal,2017-02-10 22:11:47
W_Services_Event.00068,W_Services_User.00016,Call,Meeting,0,Completed,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00069,W_Services_User.00006,Call,Meeting,59,Completed,Normal,Warm,Inbound,2017-02-10 22:11:47
W_Services_Event.00070,W_Services_User.00010,Other,Prep,0,On Hold,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00071,W_Services_User.00014,Send Quote,Email,39,On Hold,Normal,Cold,Outbound,2017-02-10 22:11:47
W_Services_Event.00072,W_Services_User.00011,Send Quote,Email,0,Completed,Normal,Warm,Outbound,2017-02-10 22:11:47
W_Services_Event.00073,W_Services_User.00002,Send Letter,Email,0,Completed,High,Hot,Inbound,2017-02-10 22:11:47
W_Services_Event.00074,W_Services_User.00008,Call,Call,46,On Hold,Normal,Cold,Outbound,2017-02-10 22:11:47
W_Services_Event.00075,W_Services_User.00002,Call,Call,29,In Progress,Normal,Cold,Inbound,2017-02-10 22:11:47
W_Services_Event.00076,W_Services_User.00012,Call,Call,0,On Hold,Normal,Warm,Inbound,2017-02-10 22:11:47
