External_Id__c,Owner.External_Id__c,Subject,Type,TaskSubtype,CallDurationInSeconds,Status,Priority
W_Services_Task.00001,W_Services_User.00013,Call,Meeting,Task,3600,In Progress,High
W_Services_Task.00002,W_Services_User.00010,Other,Meeting,Task,300,On Hold,Normal
W_Services_Task.00003,W_Services_User.00019,Call,Call,Task,180,Not Started,Normal
W_Services_Task.00004,W_Services_User.00016,Send Quote,Email,Email,750,Completed,Normal
W_Services_Task.00005,W_Services_User.00016,Send Quote,Email,Email,3600,Completed,Normal
W_Services_Task.00006,W_Services_User.00008,Send Letter,Email,Task,1800,Not Started,High
W_Services_Task.00007,W_Services_User.00015,Other,Meeting,Call,150,On Hold,Normal
W_Services_Task.00008,W_Services_User.00007,Call,Call,Call,360,On Hold,Normal
W_Services_Task.00009,W_Services_User.00006,Other,Other,Task,360,On Hold,Normal
W_Services_Task.00010,W_Services_User.00008,Call,Call,Task,750,On Hold,Normal
W_Services_Task.00011,W_Services_User.00020,Call,Call,Email,360,Completed,Normal
W_Services_Task.00012,W_Services_User.00010,Send Letter,Email,Task,600,In Progress,High
W_Services_Task.00013,W_Services_User.00018,Send Quote,Email,Task,360,Completed,Normal
W_Services_Task.00014,W_Services_User.00006,Send Letter,Email,Email,1440,Not Started,Normal
W_Services_Task.00015,W_Services_User.00018,Send Letter,Email,Task,480,In Progress,Normal
W_Services_Task.00016,W_Services_User.00017,Send Letter,Email,Email,900,Not Started,Normal
W_Services_Task.00017,W_Services_User.00012,Call,Call,Call,1620,Completed,Normal
W_Services_Task.00018,W_Services_User.00007,Send Letter,Email,Call,2250,Not Started,Normal
W_Services_Task.00019,W_Services_User.00015,Send Letter,Email,Call,540,In Progress,Normal
W_Services_Task.00020,W_Services_User.00005,Other,Prep,Call,3000,In Progress,Normal
W_Services_Task.00021,W_Services_User.00003,Other,Prep,Call,1080,On Hold,Normal
W_Services_Task.00022,W_Services_User.00003,Call,Meeting,Task,1440,On Hold,Normal
W_Services_Task.00023,W_Services_User.00012,Call,Call,Email,2700,In Progress,Normal
W_Services_Task.00024,W_Services_User.00019,Call,Call,Task,1440,In Progress,Normal
W_Services_Task.00025,W_Services_User.00006,Send Letter,Email,Call,1080,On Hold,Normal
W_Services_Task.00026,W_Services_User.00006,Call,Meeting,Call,300,Completed,Normal
W_Services_Task.00027,W_Services_User.00018,Call,Call,Email,180,Not Started,High
W_Services_Task.00028,W_Services_User.00002,Other,Prep,Email,300,Completed,High
W_Services_Task.00029,W_Services_User.00014,Other,Prep,Call,540,Completed,Normal
W_Services_Task.00030,W_Services_User.00020,Call,Meeting,Call,960,In Progress,Normal
W_Services_Task.00031,W_Services_User.00005,Send Letter,Email,Call,360,Not Started,Normal
W_Services_Task.00032,W_Services_User.00019,Call,Call,Task,600,Completed,Normal
W_Services_Task.00033,W_Services_User.00011,Send Letter,Email,Task,720,In Progress,Normal
W_Services_Task.00034,W_Services_User.00019,Call,Call,Email,600,On Hold,Normal
W_Services_Task.00035,W_Services_User.00003,Call,Call,Call,480,On Hold,Normal
W_Services_Task.00036,W_Services_User.00019,Other,Meeting,Call,2160,Completed,Normal
W_Services_Task.00037,W_Services_User.00011,Call,Call,Email,60,Not Started,Normal
W_Services_Task.00038,W_Services_User.00007,Other,Prep,Task,720,Not Started,Normal
W_Services_Task.00039,W_Services_User.00013,Send Letter,Email,Call,1080,In Progress,Normal
W_Services_Task.00040,W_Services_User.00006,Send Letter,Email,Task,120,On Hold,Normal
W_Services_Task.00041,W_Services_User.00011,Send Letter,Email,Email,3600,On Hold,Normal
W_Services_Task.00042,W_Services_User.00015,Send Letter,Email,Call,180,On Hold,Normal
W_Services_Task.00043,W_Services_User.00018,Other,Other,Task,900,Completed,Normal
W_Services_Task.00044,W_Services_User.00017,Call,Call,Call,900,On Hold,Normal
W_Services_Task.00045,W_Services_User.00008,Send Quote,Email,Task,240,Not Started,Normal
W_Services_Task.00046,W_Services_User.00010,Call,Call,Call,120,Not Started,Normal
W_Services_Task.00047,W_Services_User.00003,Send Letter,Email,Email,4500,In Progress,Normal
W_Services_Task.00048,W_Services_User.00014,Call,Meeting,Task,360,Not Started,High
W_Services_Task.00049,W_Services_User.00008,Other,Other,Email,1080,Not Started,Normal
W_Services_Task.00050,W_Services_User.00011,Send Letter,Email,Call,1620,In Progress,Normal
W_Services_Task.00051,W_Services_User.00001,Send Letter,Email,Email,600,Not Started,Normal
W_Services_Task.00052,W_Services_User.00005,Other,Prep,Email,900,Completed,Normal
W_Services_Task.00053,W_Services_User.00012,Other,Prep,Email,3600,Not Started,Normal
W_Services_Task.00054,W_Services_User.00007,Call,Call,Email,720,In Progress,Normal
W_Services_Task.00055,W_Services_User.00017,Send Letter,Email,Call,720,In Progress,Normal
W_Services_Task.00056,W_Services_User.00012,Call,Meeting,Task,240,Not Started,Normal
W_Services_Task.00057,W_Services_User.00006,Other,Meeting,Call,360,Completed,High
W_Services_Task.00058,W_Services_User.00010,Send Letter,Email,Call,2400,On Hold,Normal
W_Services_Task.00059,W_Services_User.00016,Send Quote,Email,Call,2160,Completed,Normal
W_Services_Task.00060,W_Services_User.00015,Other,Other,Email,960,In Progress,Normal
W_Services_Task.00061,W_Services_User.00010,Send Letter,Email,Call,180,In Progress,Normal
W_Services_Task.00062,W_Services_User.00018,Send Letter,Email,Call,3600,Completed,Normal
W_Services_Task.00063,W_Services_User.00003,Send Letter,Email,Task,1800,In Progress,Normal
W_Services_Task.00064,W_Services_User.00020,Other,Other,Task,540,Completed,Normal
W_Services_Task.00065,W_Services_User.00014,Send Letter,Email,Email,450,Not Started,Normal
W_Services_Task.00066,W_Services_User.00004,Other,Meeting,Task,3600,Not Started,Normal
W_Services_Task.00067,W_Services_User.00006,Send Letter,Email,Call,2700,In Progress,Normal
W_Services_Task.00068,W_Services_User.00003,Other,Prep,Call,1080,In Progress,Normal
W_Services_Task.00069,W_Services_User.00002,Send Quote,Email,Email,1800,In Progress,Normal
W_Services_Task.00070,W_Services_User.00020,Send Quote,Email,Call,3240,On Hold,Normal
