External_Id__c,Owner.External_Id__c,AccountSource,AnnualRevenue,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Industry,Name,NumberOfEmployees,Ownership,Phone,Rating,Type,YearStarted
W_Account.4,W_User.2,Community,2821000,75 Park Meadow Circle,Lynchburg,VA,24503,USA,Utilities,Cogibox [1],227,Other,1-(434)842-3319,Warm,Small Business,1910
W_Account.6,W_User.16,Social Media,2947000,45 Northport Court,Peoria,IL,61656,USA,Banking,Skinder [2],164,Private,1-(309)562-0322,Warm,Mid-Market,1950
W_Account.11,W_User.4,Marketing Event,1918000,84 Center Pass,Lubbock,TX,79410,USA,Apparel,Skiptube [3],246,Private,1-(806)168-4141,Cool,Small Business,1933
W_Account.12,W_User.15,Community,4439000,0675 Lunder Alley,Worcester,MA,1610,USA,Electronics,Npath [4],289,Private,1-(508)106-9381,Cool,Small Business,1923
W_Account.21,W_User.11,Partner,3074000,847 Alpine Alley,Hayward,CA,94544,USA,Electronics,Yotz [5],305,Private,1-(510)198-6481,Hot,Mid-Market,1881
W_Account.22,W_User.20,Cold Call,3522000,48702 Menomonie Street,Silver Spring,MD,20904,USA,Other,Meezzy [6],294,Public,1-(240)165-5749,Warm,Small Business,1949
W_Account.23,W_User.14,Community,2202000,00 Sunnyside Junction,Greenville,SC,29615,USA,Communications,Plambee [7],111,Public,1-(864)471-9024,Cool,Mid-Market,1950
W_Account.24,W_User.16,Cold Call,2262000,6 Hayes Parkway,Charlotte,NC,28278,USA,Utilities,Fivebridge [8],141,Private,1-(704)292-1019,Cool,Small Business,2010
W_Account.30,W_User.6,Data.com,4413000,9989 Main Park,North Las Vegas,NV,89036,USA,Education,Realbuzz [9],283,Private,1-(702)565-3132,Cool,Small Business,2004
W_Account.35,W_User.2,Cold Call,3573000,35 Rieder Way,Rochester,NY,14683,USA,Other,Kayveo [10],172,Public,1-(585)101-7490,Hot,Small Business,1998
W_Account.36,W_User.4,Social Media,3891000,2 Alpine Point,Panama City,FL,32412,USA,Utilities,Avamm [11],249,Public,1-(850)126-5437,Cool,Small Business,1918
W_Account.37,W_User.16,Referral,2772000,29 Fordem Terrace,El Paso,TX,79940,USA,Electronics,Flashdog [12],148,Other,1-(915)719-8821,Hot,Mid-Market,1891
W_Account.43,W_User.6,Website,2461000,1671 Northview Hill,Dallas,TX,75246,USA,Not For Profit,Photolist [13],145,Public,1-(214)812-8682,Cool,Small Business,2010
W_Account.45,W_User.2,Social Media,3731000,41826 Myrtle Junction,Las Vegas,NV,89166,USA,Insurance,Kazu [14],224,Subsidiary,1-(702)694-6181,Cool,Mid-Market,1908
W_Account.48,W_User.2,Partner,2643000,2 Banding Center,Greenville,SC,29605,USA,Utilities,Zoonoodle [15],157,Private,1-(864)321-7542,Hot,Small Business,1972
W_Account.50,W_User.5,Community,1984000,012 Gale Court,Oxnard,CA,93034,USA,Entertainment,Skimia [16],107,Private,1-(805)704-1220,Cool,Small Business,1968
W_Account.51,W_User.12,Community,2849000,682 Rusk Terrace,Dayton,OH,45419,USA,Construction,Thoughtblab [17],156,Private,1-(937)529-5700,Cool,Small Business,1965
W_Account.56,W_User.3,Community,2872000,75194 Division Trail,Lubbock,TX,79410,USA,Manufacturing,Gigaclub [18],165,Public,1-(806)498-5590,Cool,Small Business,1976
W_Account.57,W_User.15,Website,3307000,746 Waxwing Park,Vienna,VA,22184,USA,Other,Wordtune [19],226,Subsidiary,1-(571)486-7929,Hot,Small Business,1976
W_Account.67,W_User.16,Cold Call,2778000,2571 Bunker Hill Court,Pasadena,CA,91117,USA,Hospitality,Bubblemix [20],161,Public,1-(626)272-3206,Hot,Small Business,1970
W_Account.70,W_User.14,Community,2200000,94 Mallard Place,Rochester,NY,14619,USA,Entertainment,Eayo [21],134,Public,1-(585)595-7135,Cool,Small Business,1985
W_Account.71,W_User.13,Data.com,2597000,077 Heffernan Hill,Brooklyn,NY,11225,USA,Transportation,Wikibox [22],141,Private,1-(718)264-1159,Warm,Enterprise,1883
W_Account.77,W_User.13,Website,3254000,17 Dunning Parkway,Kansas City,MO,64193,USA,Engineering,Tambee [23],306,Private,1-(816)380-3842,Hot,Mid-Market,2002
W_Account.80,W_User.12,Cold Call,2888000,8 Lake View Terrace,Pittsburgh,PA,15250,USA,Healthcare & Life Sciences,Jaxbean [24],158,Other,1-(412)653-2042,Warm,Small Business,1887
W_Account.81,W_User.14,Social Media,3498000,7055 Katie Court,Rochester,NY,14604,USA,Retail,Jayo [25],239,Private,1-(585)687-8215,Hot,Small Business,1940
W_Account.82,W_User.9,Website,2967000,0635 Hoepker Street,Milwaukee,WI,53210,USA,Entertainment,Yacero [26],237,Public,1-(414)938-9987,Cool,Small Business,1992
