External_Id__c,RequestDateTime__c,CreatedDate__c,AssignedDateTime__c,AcceptDateTime__c,CloseDateTime__c,ActiveTime__c,AgentCapacityWhenDeclined__c,CancelDateTime__c,CapacityPercentage__c,CapacityWeight__c,DeclineDateTime__c,DeclineReason__c,HandleTime__c,OriginalQueue.DeveloperName,PushTimeout__c,PushTimeoutDateTime__c,ServiceChannel.DeveloperName,SpeedToAnswer__c,Status__c,User.External_Id__c,Case.External_Id__c
W_AgentWork.1,2016-12-13 15:27:54,2016-12-13 17:09:54,2016-12-13 17:10:07,2016-12-13 17:15:03,2016-12-13 17:16:23,80,692,2016-12-13 17:13:08,57,5,2016-12-13 17:10:38,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",80,Time_Off_Manager_Payroll,40,2016-12-13 17:11:34,sfdc_sos,6429,Opened,W_Services_User.18,W_Case.220
W_AgentWork.2,2016-10-03 17:04:19,2016-10-03 18:48:19,2016-10-03 18:48:36,2016-10-03 18:53:31,2016-10-03 19:17:42,1451,1629,2016-10-03 18:50:24,89,5,2016-10-03 18:49:49,Pellentesque eget nunc.,1451,GeneralQueue,11,2016-10-03 18:49:07,Cases,6552,DeclinedOnPushTimeout,W_Services_User.6,W_Case.215
W_AgentWork.3,2017-01-11 00:20:40,2017-01-11 00:42:40,2017-01-11 00:44:30,2017-01-11 00:51:11,2017-01-11 01:05:14,843,844,2017-01-11 00:50:07,78,1,2017-01-11 00:47:39,Pellentesque viverra pede ac diam.,843,Knowledge_Translations,15,2017-01-11 00:43:37,sfdc_liveagent,1831,Canceled,W_Services_User.2,W_Case.474
W_AgentWork.4,2016-12-09 06:06:51,2016-12-09 06:19:51,2016-12-09 06:20:11,2016-12-09 06:25:21,2016-12-09 06:33:45,504,151,2016-12-09 06:22:24,90,3,2016-12-09 06:22:16,Curabitur at ipsum ac tellus semper interdum.,504,Social_Queue,17,2016-12-09 06:21:28,sfdc_liveagent,1110,Opened,W_Services_User.3,W_Case.73
W_AgentWork.5,2016-12-09 13:54:19,2016-12-09 15:32:19,2016-12-09 15:33:02,2016-12-09 15:40:19,2016-12-09 15:50:42,623,577,2016-12-09 15:41:00,9,5,2016-12-09 15:36:24,In congue.,623,Time_Off_Manager_Payroll,97,2016-12-09 15:33:23,LiveMessage,6360,Unavailable,W_Services_User.19,W_Case.310
W_AgentWork.6,2017-03-18 13:26:44,2017-03-18 15:14:44,2017-03-18 15:15:31,2017-03-18 15:17:07,2017-03-18 15:46:42,1775,1670,2017-03-18 15:24:10,4,5,2017-03-18 15:21:40,Mauris lacinia sapien quis libero.,1775,InternationalQueue,93,2017-03-18 15:16:23,Leads,6623,Declined,W_Services_User.16,W_Case.183
W_AgentWork.7,2016-07-18 00:47:28,2016-07-18 01:23:28,2016-07-18 01:23:52,2016-07-18 01:29:55,2016-07-18 01:36:53,418,1337,2016-07-18 01:30:22,100,5,2016-07-18 01:25:07,Pellentesque at nulla.,418,GeneralQueue,95,2016-07-18 01:25:04,sfdc_sos,2547,Declined,W_Services_User.17,W_Case.101
W_AgentWork.8,2016-10-22 01:44:45,2016-10-22 03:00:45,2016-10-22 03:01:57,2016-10-22 03:06:15,2016-10-22 03:36:00,1785,1131,2016-10-22 03:09:17,64,3,2016-10-22 03:04:12,Etiam pretium iaculis justo.,1785,InternationalQueue,34,2016-10-22 03:02:15,sfdc_liveagent,4890,Canceled,W_Services_User.7,W_Case.198
W_AgentWork.9,2016-11-10 12:30:47,2016-11-10 14:13:47,2016-11-10 14:15:45,2016-11-10 14:24:56,2016-11-10 14:41:36,1000,655,2016-11-10 14:19:04,84,5,2016-11-10 14:21:27,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,1000,Tier3Queue,87,2016-11-10 14:14:25,sfdc_liveagent,6849,DeclinedOnPushTimeout,W_Services_User.16,W_Case.187
W_AgentWork.10,2017-03-12 13:00:08,2017-03-12 14:08:08,2017-03-12 14:09:47,2017-03-12 14:13:27,2017-03-12 14:26:58,811,210,2017-03-12 14:17:32,5,5,2017-03-12 14:19:05,Nam nulla.,811,Knowledge_Translations,7,2017-03-12 14:09:21,Leads,4399,Opened,W_Services_User.7,W_Case.254
