External_Id__c,Case.External_Id__c,CreatedById__c,CreatedDate__c,Field__c,OldValue__c,NewValue__c
W_CaseHistory.1,W_Case.202,W_User.12,2016-10-12 00:00:00,created,,
W_CaseHistory.2,W_Case.202,W_User.12,2016-10-12 00:00:00,Status,,New
W_CaseHistory.3,W_Case.202,W_User.12,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.4,W_Case.203,W_User.9,2016-09-18 00:00:00,created,,
W_CaseHistory.5,W_Case.203,W_User.9,2016-09-18 00:00:00,Status,,New
W_CaseHistory.6,W_Case.203,W_User.9,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.7,W_Case.204,W_User.13,2016-08-01 00:00:00,created,,
W_CaseHistory.8,W_Case.204,W_User.13,2016-08-01 00:00:00,Status,,New
W_CaseHistory.9,W_Case.204,W_User.13,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.10,W_Case.205,W_User.13,2016-11-05 00:00:00,created,,
W_CaseHistory.11,W_Case.205,W_User.13,2016-11-05 00:00:00,Status,,New
W_CaseHistory.12,W_Case.205,W_User.13,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.13,W_Case.206,W_User.14,2016-09-18 00:00:00,created,,
W_CaseHistory.14,W_Case.206,W_User.14,2016-09-18 00:00:00,Status,,New
W_CaseHistory.15,W_Case.206,W_User.14,2016-09-29 00:00:00,Status,New,Escalated
W_CaseHistory.16,W_Case.206,W_User.14,2016-10-27 00:00:00,Status,Escalated,On Hold
W_CaseHistory.17,W_Case.206,W_User.14,2016-11-17 00:00:00,Status,On Hold,Waiting on Customer
W_CaseHistory.18,W_Case.207,W_User.7,2016-08-13 00:00:00,created,,
W_CaseHistory.19,W_Case.207,W_User.7,2016-08-13 00:00:00,Status,,New
W_CaseHistory.20,W_Case.207,W_User.7,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.21,W_Case.208,W_User.18,2016-09-06 00:00:00,created,,
W_CaseHistory.22,W_Case.208,W_User.18,2016-09-06 00:00:00,Status,,New
W_CaseHistory.23,W_Case.208,W_User.18,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.24,W_Case.209,W_User.14,2016-10-24 00:00:00,created,,
