External_Id__c,Owner.External_Id__c,CreatedDate__c,Subject,DurationInMinutes,ActivityDateTime
W_Event.1,W_Services_User.11,2015-03-21 00:00:00,Send Letter,50,2017-04-13 23:45:33
W_Event.2,W_Services_User.4,2016-03-09 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.3,W_Services_User.16,2016-02-09 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.4,W_Services_User.12,2014-07-02 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.5,W_Services_User.3,2014-07-24 00:00:00,Call,4,2017-04-13 23:45:33
W_Event.6,W_Services_User.14,2014-08-12 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.7,W_Services_User.20,2014-11-17 00:00:00,Send Letter,53,2017-04-13 23:45:33
W_Event.8,W_Services_User.16,2014-03-05 00:00:00,Other,42,2017-04-13 23:45:33
W_Event.9,W_Services_User.7,2014-04-05 00:00:00,Send Quote,39,2017-04-13 23:45:33
W_Event.10,W_Services_User.11,2014-08-17 00:00:00,Send Letter,49,2017-04-13 23:45:33
W_Event.11,W_Services_User.3,2014-09-05 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.12,W_Services_User.6,2014-07-10 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.13,W_Services_User.8,2017-02-25 00:00:00,Send Letter,51,2017-04-13 23:45:33
W_Event.14,W_Services_User.17,2017-03-30 00:00:00,Send Letter,28,2017-04-13 23:45:33
W_Event.15,W_Services_User.13,2017-04-15 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.16,W_Services_User.12,2016-01-05 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.17,W_Services_User.14,2016-02-12 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.18,W_Services_User.7,2015-12-28 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.19,W_Services_User.18,2017-05-15 00:00:00,Send Quote,11,2017-04-13 23:45:33
W_Event.20,W_Services_User.16,2017-05-15 00:00:00,Send Letter,49,2017-04-13 23:45:33
W_Event.21,W_Services_User.14,2017-05-15 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.22,W_Services_User.17,2017-05-15 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.23,W_Services_User.17,2017-05-15 00:00:00,Other,41,2017-04-13 23:45:33
W_Event.24,W_Services_User.2,2017-05-15 00:00:00,Other,24,2017-04-13 23:45:33
W_Event.25,W_Services_User.2,2017-04-13 00:00:00,Send Letter,11,2017-04-13 23:45:33
W_Event.26,W_Services_User.4,2015-03-03 00:00:00,Send Letter,49,2017-04-13 23:45:33
W_Event.27,W_Services_User.9,2016-03-14 00:00:00,Other,4,2017-04-13 23:45:33
W_Event.28,W_Services_User.16,2016-03-01 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.29,W_Services_User.13,2016-03-06 00:00:00,Call,13,2017-04-13 23:45:33
W_Event.30,W_Services_User.12,2016-01-06 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.31,W_Services_User.17,2015-12-28 00:00:00,Send Letter,10,2017-04-13 23:45:33
