External_Id__c,ArticleNumber__c,CreatedDate__c,Owner.External_Id__c,PublishStatus__c,IsLatestVersion__c,IsVisibleInApp__c,IsVisibleInCsp__c,IsVisibleInPkb__c,IsVisibleInPrm__c,KCSArticle__ka.External_Id__c,Title__c,VersionNumber__c,Language__c
W_KCSArticleVersion.1,1,2016-10-21 00:00:00,W_Services_User.10,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.1,Beauty,1,en_US
W_KCSArticleVersion.2,2,2016-12-03 00:00:00,W_Services_User.16,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.2,Computers,1,en_US
W_KCSArticleVersion.3,3,2017-03-18 00:00:00,W_Services_User.12,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.3,Outdoors,1,en_US
W_KCSArticleVersion.4,4,2016-08-11 00:00:00,W_Services_User.11,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.4,Computers,1,en_US
W_KCSArticleVersion.5,5,2016-09-11 00:00:00,W_Services_User.11,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.5,Clothing,1,en_US
W_KCSArticleVersion.6,6,2017-04-09 00:00:00,W_Services_User.5,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.6,Tools,1,en_US
W_KCSArticleVersion.7,7,2016-04-27 00:00:00,W_Services_User.15,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.7,Health,1,en_US
W_KCSArticleVersion.8,8,2017-01-16 00:00:00,W_Services_User.5,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.8,Automotive,1,en_US
W_KCSArticleVersion.9,9,2016-09-26 00:00:00,W_Services_User.13,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.9,Beauty,1,en_US
W_KCSArticleVersion.10,10,2016-09-25 00:00:00,W_Services_User.7,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.10,Clothing,1,en_US
W_KCSArticleVersion.11,11,2016-08-27 00:00:00,W_Services_User.15,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.11,Jewelery,1,en_US
W_KCSArticleVersion.12,12,2016-07-12 00:00:00,W_Services_User.19,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.12,Jewelery,1,en_US
W_KCSArticleVersion.13,13,2017-02-04 00:00:00,W_Services_User.10,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.13,Health,1,en_US
W_KCSArticleVersion.14,14,2016-07-07 00:00:00,W_Services_User.8,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.14,Tools,1,en_US
W_KCSArticleVersion.15,15,2016-12-02 00:00:00,W_Services_User.6,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.15,Industrial,1,en_US
W_KCSArticleVersion.16,16,2017-01-03 00:00:00,W_Services_User.17,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.16,Industrial,1,en_US
W_KCSArticleVersion.17,17,2017-02-15 00:00:00,W_Services_User.20,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.17,Sports,1,en_US
W_KCSArticleVersion.18,18,2016-08-09 00:00:00,W_Services_User.7,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.18,Computers,1,en_US
W_KCSArticleVersion.19,19,2016-09-23 00:00:00,W_Services_User.16,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.19,Jewelery,1,en_US
W_KCSArticleVersion.20,20,2016-07-03 00:00:00,W_Services_User.9,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.20,Sports,1,en_US
W_KCSArticleVersion.21,21,2016-11-06 00:00:00,W_Services_User.12,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.21,Beauty,1,en_US
W_KCSArticleVersion.22,22,2016-08-14 00:00:00,W_Services_User.15,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.22,Outdoors,1,en_US
W_KCSArticleVersion.23,23,2017-02-09 00:00:00,W_Services_User.19,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.23,Computers,1,en_US
W_KCSArticleVersion.24,24,2016-08-05 00:00:00,W_Services_User.18,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.24,Computers,1,en_US
W_KCSArticleVersion.25,25,2016-11-24 00:00:00,W_Services_User.3,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.25,Tools,1,en_US
W_KCSArticleVersion.26,26,2016-07-19 00:00:00,W_Services_User.8,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.26,Books,1,en_US
W_KCSArticleVersion.27,27,2017-02-07 00:00:00,W_Services_User.3,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.27,Electronics,1,en_US
W_KCSArticleVersion.28,28,2016-05-13 00:00:00,W_Services_User.6,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.28,Grocery,1,en_US
W_KCSArticleVersion.29,29,2016-06-14 00:00:00,W_Services_User.19,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.29,Kids,1,en_US
W_KCSArticleVersion.30,30,2017-02-23 00:00:00,W_Services_User.2,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.30,Tools,1,en_US
W_KCSArticleVersion.31,31,2016-09-17 00:00:00,W_Services_User.4,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.31,Computers,1,en_US
W_KCSArticleVersion.32,32,2016-11-21 00:00:00,W_Services_User.14,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.32,Clothing,1,en_US
W_KCSArticleVersion.33,33,2016-11-26 00:00:00,W_Services_User.5,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.33,Beauty,1,en_US
W_KCSArticleVersion.34,34,2017-02-12 00:00:00,W_Services_User.10,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.34,Electronics,1,en_US
W_KCSArticleVersion.35,35,2016-10-06 00:00:00,W_Services_User.3,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.35,Books,1,en_US
W_KCSArticleVersion.36,36,2016-09-05 00:00:00,W_Services_User.11,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.36,Music,1,en_US
W_KCSArticleVersion.37,37,2016-05-04 00:00:00,W_Services_User.14,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.37,Industrial,1,en_US
W_KCSArticleVersion.38,38,2017-02-08 00:00:00,W_Services_User.9,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.38,Baby,1,en_US
W_KCSArticleVersion.39,39,2016-11-02 00:00:00,W_Services_User.4,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.39,Baby,1,en_US
W_KCSArticleVersion.40,40,2016-08-29 00:00:00,W_Services_User.5,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.40,Books,1,en_US
W_KCSArticleVersion.41,41,2017-03-22 00:00:00,W_Services_User.4,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.41,Toys,1,en_US
W_KCSArticleVersion.42,42,2016-08-07 00:00:00,W_Services_User.1,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.42,Computers,1,en_US
W_KCSArticleVersion.43,43,2017-02-03 00:00:00,W_Services_User.13,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.43,Home,1,en_US
W_KCSArticleVersion.44,44,2016-09-07 00:00:00,W_Services_User.20,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.44,Shoes,1,en_US
W_KCSArticleVersion.45,45,2016-12-24 00:00:00,W_Services_User.9,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.45,Jewelery,1,en_US
W_KCSArticleVersion.46,46,2017-02-27 00:00:00,W_Services_User.17,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.46,Outdoors,1,en_US
W_KCSArticleVersion.47,47,2016-07-30 00:00:00,W_Services_User.16,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.47,Grocery,1,en_US
W_KCSArticleVersion.48,48,2017-02-28 00:00:00,W_Services_User.11,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.48,Home,1,en_US
W_KCSArticleVersion.49,49,2017-04-09 00:00:00,W_Services_User.9,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.49,Books,1,en_US
W_KCSArticleVersion.50,50,2017-04-01 00:00:00,W_Services_User.17,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.50,Books,1,en_US
W_KCSArticleVersion.51,51,2016-10-15 00:00:00,W_Services_User.11,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.51,Baby,1,en_US
W_KCSArticleVersion.52,52,2016-09-24 00:00:00,W_Services_User.11,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.52,Home,1,en_US
W_KCSArticleVersion.53,53,2016-11-30 00:00:00,W_Services_User.20,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.53,Grocery,1,en_US
W_KCSArticleVersion.54,54,2016-10-03 00:00:00,W_Services_User.17,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.54,Outdoors,1,en_US
W_KCSArticleVersion.55,55,2016-07-30 00:00:00,W_Services_User.18,Archived,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.55,Tools,1,en_US
W_KCSArticleVersion.56,56,2017-02-10 00:00:00,W_Services_User.12,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.56,Toys,1,en_US
W_KCSArticleVersion.57,57,2016-08-24 00:00:00,W_Services_User.17,Online,TRUE,TRUE,TRUE,TRUE,TRUE,W_KCSArticle.57,Home,1,en_US
