External_Id__c,Owner.External_Id__c,Account.External_Id__c,DateTimeCreated__c,CloseDate,Name,Products__c,StageName,Amount,Type
W_Services_Opportunity.1,W_Services_User.1,W_Services_Account.1007,2015-07-02 13:36:41,2015-09-17 13:36:41,New Opportunity [2015-07-02 13:36:41],GC5000 series,Closed Won,154700,Add-On Business
W_Services_Opportunity.2,W_Services_User.5,W_Services_Account.1012,2015-02-18 07:59:24,2015-06-04 07:59:24,New Opportunity [2015-02-18 07:59:24],GC5000 series,Closed Lost,96100,New Business
W_Services_Opportunity.3,W_Services_User.6,W_Services_Account.103,2015-06-08 19:34:07,2015-12-07 19:34:07,New Opportunity [2015-06-08 19:34:07],GC1000 series,Negotiation,141800,New Business
W_Services_Opportunity.4,W_Services_User.1,W_Services_Account.219,2016-12-24 13:50:22,2017-04-28 13:50:22,New Opportunity [2016-12-24 13:50:22],GC10001,Closed Lost,124400,Services
W_Services_Opportunity.5,W_Services_User.13,W_Services_Account.815,2016-11-25 22:14:39,2017-04-02 22:14:39,New Opportunity [2016-11-25 22:14:39],GC1000 series,Qualification,136100,Add-On Business
W_Services_Opportunity.6,W_Services_User.6,W_Services_Account.449,2015-04-06 06:45:53,2015-08-08 06:45:53,New Opportunity [2015-04-06 06:45:53],GC10001,Closed Won,151200,Add-On Business
W_Services_Opportunity.7,W_Services_User.6,W_Services_Account.991,2015-05-20 12:53:05,2015-10-29 12:53:05,New Opportunity [2015-05-20 12:53:05],GC1000 series,Closed Lost,129400,New Business
W_Services_Opportunity.8,W_Services_User.2,W_Services_Account.375,2016-06-20 23:40:42,2017-01-10 23:40:42,New Opportunity [2016-06-20 23:40:42],GC10001,Qualification,105500,New Business
W_Services_Opportunity.9,W_Services_User.15,W_Services_Account.103,2015-05-08 23:06:20,2015-08-04 23:06:20,New Opportunity [2015-05-08 23:06:20],GC50000,Negotiation,161800,New Business
W_Services_Opportunity.10,W_Services_User.6,W_Services_Account.979,2015-07-02 04:58:00,2016-01-27 04:58:00,New Opportunity [2015-07-02 04:58:00],GC5000 series,Proposal/Quote,146300,Add-On Business
W_Services_Opportunity.11,W_Services_User.8,W_Services_Account.37,2016-02-10 05:39:37,2016-09-06 05:39:37,New Opportunity [2016-02-10 05:39:37],GC5000 series,Needs Analysis,108000,New Business
W_Services_Opportunity.12,W_Services_User.6,W_Services_Account.1040,2015-07-01 21:08:57,2015-10-18 21:08:57,New Opportunity [2015-07-01 21:08:57],GC50000,Negotiation,116200,Add-On Business
W_Services_Opportunity.13,W_Services_User.1,W_Services_Account.1087,2016-04-04 14:03:25,2016-09-26 14:03:25,New Opportunity [2016-04-04 14:03:25],GC10001,Closed Won,197300,New Business
W_Services_Opportunity.14,W_Services_User.12,W_Services_Account.463,2016-01-02 06:49:23,2016-06-29 06:49:23,New Opportunity [2016-01-02 06:49:23],GC1000 series,Closed Won,165700,Add-On Business
