External_Id__c,Owner.External_Id__c,Case.External_Id__c,CreatedDate__c,LastModifiedDate__c,Subject,Type,TaskSubtype,CallDurationInSeconds,Status,Priority
W_Task.1,W_Services_User.19,W_Case.6962,2017-04-01 00:00:00,2017-04-01 00:00:00,Send Letter,Email,Email,180,In Progress,Normal
W_Task.2,W_Services_User.6,W_Case.328,2017-03-27 00:00:00,2017-03-27 00:00:00,Other,Meeting,Call,2400,In Progress,High
W_Task.3,W_Services_User.20,W_Case.3128,2017-03-09 00:00:00,2017-03-09 00:00:00,Call,Call,Email,4320,Completed,Normal
W_Task.4,W_Services_User.6,W_Case.1947,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Letter,Email,Email,180,On Hold,Normal
W_Task.5,W_Services_User.10,W_Case.2698,2017-03-02 00:00:00,2017-03-02 00:00:00,Send Letter,Email,Task,720,Not Started,Normal
W_Task.6,W_Services_User.6,W_Case.3827,2014-01-27 00:00:00,2014-01-27 00:00:00,Other,Prep,Email,360,Completed,Normal
W_Task.7,W_Services_User.6,W_Case.2812,2014-02-17 00:00:00,2014-02-17 00:00:00,Send Quote,Email,Call,2160,Not Started,Normal
W_Task.8,W_Services_User.12,W_Case.592,2016-11-05 00:00:00,2016-11-05 00:00:00,Send Letter,Email,Call,5400,In Progress,Normal
W_Task.9,W_Services_User.8,W_Case.2682,2016-12-05 00:00:00,2016-12-05 00:00:00,Send Letter,Email,Email,720,On Hold,Normal
W_Task.10,W_Services_User.6,W_Case.2327,2017-02-07 00:00:00,2017-02-07 00:00:00,Other,Other,Call,180,Not Started,Normal
W_Task.11,W_Services_User.10,W_Case.459,2015-10-13 00:00:00,2015-10-13 00:00:00,Other,Prep,Email,360,Completed,Normal
W_Task.12,W_Services_User.13,W_Case.4234,2015-09-04 00:00:00,2015-09-04 00:00:00,Send Quote,Email,Call,1440,In Progress,Normal
W_Task.13,W_Services_User.18,W_Case.6288,2015-09-02 00:00:00,2015-09-02 00:00:00,Send Letter,Email,Task,1800,In Progress,Normal
W_Task.14,W_Services_User.17,W_Case.2193,2017-03-27 00:00:00,2017-03-27 00:00:00,Send Quote,Email,Call,1800,On Hold,Normal
W_Task.15,W_Services_User.20,W_Case.4339,2017-01-12 00:00:00,2017-01-12 00:00:00,Other,Meeting,Email,1080,Not Started,Normal
W_Task.16,W_Services_User.18,W_Case.6701,2015-07-24 00:00:00,2015-07-24 00:00:00,Call,Call,Email,2160,On Hold,Normal
W_Task.17,W_Services_User.16,W_Case.7252,2015-08-15 00:00:00,2015-08-15 00:00:00,Other,Other,Task,600,Completed,Normal
W_Task.18,W_Services_User.7,W_Case.5332,2015-08-15 00:00:00,2015-08-15 00:00:00,Send Letter,Email,Call,4320,On Hold,High
W_Task.19,W_Services_User.1,W_Case.4091,2016-09-08 00:00:00,2016-09-08 00:00:00,Send Letter,Email,Call,1200,Completed,Normal
W_Task.20,W_Services_User.18,W_Case.5273,2017-02-25 00:00:00,2017-02-25 00:00:00,Send Quote,Email,Call,120,In Progress,Normal
W_Task.21,W_Services_User.17,W_Case.6724,2017-03-01 00:00:00,2017-03-01 00:00:00,Other,Meeting,Task,720,Completed,Normal
W_Task.22,W_Services_User.18,W_Case.1329,2016-02-29 00:00:00,2016-02-29 00:00:00,Send Quote,Email,Email,1080,In Progress,Normal
W_Task.23,W_Services_User.16,W_Case.7182,2017-01-24 00:00:00,2017-01-24 00:00:00,Send Letter,Email,Call,600,Completed,Normal
W_Task.24,W_Services_User.5,W_Case.7170,2017-01-25 00:00:00,2017-01-25 00:00:00,Call,Call,Call,1440,In Progress,Normal
W_Task.25,W_Services_User.17,W_Case.1197,2016-01-20 00:00:00,2016-01-20 00:00:00,Send Quote,Email,Email,900,Completed,Normal
W_Task.26,W_Services_User.14,W_Case.5214,2016-04-17 00:00:00,2016-04-17 00:00:00,Other,Other,Email,720,On Hold,Normal
W_Task.27,W_Services_User.1,W_Case.6822,2016-05-28 00:00:00,2016-05-28 00:00:00,Send Quote,Email,Email,5400,Not Started,Normal
W_Task.28,W_Services_User.13,W_Case.1056,2016-04-05 00:00:00,2016-04-05 00:00:00,Send Letter,Email,Task,720,Not Started,Normal
W_Task.29,W_Services_User.12,W_Case.548,2014-09-24 00:00:00,2014-09-24 00:00:00,Send Letter,Email,Call,600,On Hold,Normal
W_Task.30,W_Services_User.13,W_Case.1067,2017-04-11 00:00:00,2017-04-11 00:00:00,Send Letter,Email,Email,6480,Completed,High
W_Task.31,W_Services_User.5,W_Case.614,2017-02-28 00:00:00,2017-02-28 00:00:00,Call,Call,Email,360,Completed,Normal
W_Task.32,W_Services_User.12,W_Case.5376,2016-12-12 00:00:00,2016-12-12 00:00:00,Send Letter,Email,Email,1080,Completed,Normal
W_Task.33,W_Services_User.11,W_Case.957,2017-03-10 00:00:00,2017-03-10 00:00:00,Send Letter,Email,Email,300,In Progress,High
W_Task.34,W_Services_User.4,W_Case.2155,2016-08-05 00:00:00,2016-08-05 00:00:00,Call,Call,Email,120,On Hold,Normal
W_Task.35,W_Services_User.13,W_Case.877,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Letter,Email,Email,2400,Completed,Normal
W_Task.36,W_Services_User.16,W_Case.4638,2017-05-15 00:00:00,2017-05-15 00:00:00,Other,Prep,Call,1800,On Hold,Normal
W_Task.37,W_Services_User.3,W_Case.6336,2016-01-06 00:00:00,2016-01-06 00:00:00,Call,Call,Call,360,Not Started,High
W_Task.38,W_Services_User.14,W_Case.1481,2016-02-05 00:00:00,2016-02-05 00:00:00,Call,Call,Email,2160,In Progress,Normal
