External_Id__c,AtCapacityDuration__c,AverageCapacity__c,ConfiguredCapacity__c,CreatedDate__c,IdleDuration__c,IsAway__c,IsCurrentState__c,StatusDuration__c,StatusStartDate__c,StatusEndDate__c,Owner.External_Id__c,User.External_Id__c,ServicePresenceStatus.DeveloperName
W_UserServicePresence.1,44,483,466,2017-03-13 10:42:05,591,false,true,576,2016-07-09 20:08:36,2016-07-09 20:18:12,W_Services_User.1,W_Services_User.1,Busy_Training
W_UserServicePresence.2,715,87,440,2016-07-27 14:22:05,436,true,false,324,2016-07-30 09:26:24,2016-07-30 09:31:48,W_Services_User.8,W_Services_User.8,Busy_Break
W_UserServicePresence.3,429,494,494,2017-03-20 13:56:58,206,true,false,607,2016-08-22 18:39:32,2016-08-22 18:49:39,W_Services_User.14,W_Services_User.14,Online
W_UserServicePresence.4,506,214,219,2016-10-25 15:05:07,484,true,false,510,2016-08-14 07:59:58,2016-08-14 08:08:28,W_Services_User.10,W_Services_User.10,Busy
W_UserServicePresence.5,147,58,380,2016-09-01 00:07:52,78,false,true,354,2016-12-20 03:27:15,2016-12-20 03:33:09,W_Services_User.10,W_Services_User.10,Available_Live_Agent
W_UserServicePresence.6,897,217,209,2016-10-05 03:56:28,485,true,true,764,2016-07-28 10:57:25,2016-07-28 11:10:09,W_Services_User.2,W_Services_User.2,Available_Live_Agent
W_UserServicePresence.7,343,153,479,2016-07-04 16:41:04,173,false,true,857,2016-09-13 17:37:45,2016-09-13 17:52:02,W_Services_User.5,W_Services_User.5,Busy
W_UserServicePresence.8,600,41,577,2016-10-24 18:36:56,386,true,false,88,2016-12-28 18:08:59,2016-12-28 18:10:27,W_Services_User.8,W_Services_User.8,Busy_Break
W_UserServicePresence.9,92,250,582,2016-08-04 01:48:33,366,false,false,140,2017-03-05 06:26:40,2017-03-05 06:29:00,W_Services_User.2,W_Services_User.2,Busy_Lunch
W_UserServicePresence.10,376,229,511,2016-12-10 14:12:16,590,false,true,615,2016-10-30 13:02:57,2016-10-30 13:13:12,W_Services_User.9,W_Services_User.9,Available_Live_Agent
W_UserServicePresence.11,157,366,432,2016-07-13 22:03:29,182,false,true,639,2016-07-27 08:55:43,2016-07-27 09:06:22,W_Services_User.19,W_Services_User.19,Available_LiveMessage
W_UserServicePresence.12,157,319,179,2016-09-27 19:05:08,539,true,true,561,2017-01-26 15:27:04,2017-01-26 15:36:25,W_Services_User.13,W_Services_User.13,Busy_Lunch
W_UserServicePresence.13,542,327,127,2016-10-02 03:13:07,373,true,false,584,2017-01-01 15:12:26,2017-01-01 15:22:10,W_Services_User.11,W_Services_User.11,Busy
W_UserServicePresence.14,74,409,117,2016-10-01 18:45:34,143,true,true,813,2016-07-09 18:03:48,2016-07-09 18:17:21,W_Services_User.6,W_Services_User.6,Available_Live_Agent
W_UserServicePresence.15,524,475,383,2016-08-27 14:09:15,273,false,true,825,2016-09-25 10:48:08,2016-09-25 11:01:53,W_Services_User.5,W_Services_User.5,Busy
W_UserServicePresence.16,705,333,532,2017-03-14 04:38:33,465,false,false,202,2017-01-09 17:43:40,2017-01-09 17:47:02,W_Services_User.5,W_Services_User.5,Busy_Break
W_UserServicePresence.17,784,226,508,2016-07-01 03:01:50,474,true,true,437,2016-07-21 19:25:30,2016-07-21 19:32:47,W_Services_User.1,W_Services_User.1,Busy_Training
W_UserServicePresence.18,449,237,169,2017-01-24 13:58:03,491,false,false,444,2017-02-25 11:12:28,2017-02-25 11:19:52,W_Services_User.15,W_Services_User.15,Busy
W_UserServicePresence.19,508,191,263,2016-08-14 23:05:17,438,true,true,876,2016-11-22 09:31:34,2016-11-22 09:46:10,W_Services_User.12,W_Services_User.12,Busy_Break
W_UserServicePresence.20,270,345,167,2016-08-30 21:15:33,285,false,true,460,2016-12-11 03:28:20,2016-12-11 03:36:00,W_Services_User.16,W_Services_User.16,Busy
W_UserServicePresence.21,416,328,137,2016-10-29 02:36:11,224,true,false,417,2017-02-21 22:02:21,2017-02-21 22:09:18,W_Services_User.14,W_Services_User.14,Busy_Training
W_UserServicePresence.22,238,284,224,2016-10-27 13:33:24,453,true,false,443,2017-01-10 04:43:09,2017-01-10 04:50:32,W_Services_User.3,W_Services_User.3,Busy
W_UserServicePresence.23,36,188,83,2017-01-02 04:45:39,181,true,false,531,2016-10-23 08:08:44,2016-10-23 08:17:35,W_Services_User.7,W_Services_User.7,Available_Live_Agent
W_UserServicePresence.24,517,104,60,2016-07-14 14:51:13,98,false,false,352,2016-12-22 20:25:34,2016-12-22 20:31:26,W_Services_User.11,W_Services_User.11,Busy_Training
W_UserServicePresence.25,364,49,223,2017-01-24 06:47:34,429,false,false,359,2016-09-02 04:33:14,2016-09-02 04:39:13,W_Services_User.19,W_Services_User.19,Busy_Break
W_UserServicePresence.26,340,342,393,2016-09-03 14:36:00,347,true,false,833,2017-03-15 21:11:48,2017-03-15 21:25:41,W_Services_User.13,W_Services_User.13,Available_LiveMessage
W_UserServicePresence.27,839,417,343,2017-03-30 09:32:24,299,true,false,122,2016-11-25 07:27:03,2016-11-25 07:29:05,W_Services_User.19,W_Services_User.19,Busy_Break
W_UserServicePresence.28,141,315,277,2017-03-29 05:32:42,195,true,true,515,2016-10-28 23:48:13,2016-10-28 23:56:48,W_Services_User.2,W_Services_User.2,Busy_Training
W_UserServicePresence.29,784,38,31,2016-07-19 05:06:54,43,true,true,467,2017-02-12 05:15:36,2017-02-12 05:23:23,W_Services_User.8,W_Services_User.8,Busy_Break
W_UserServicePresence.30,609,360,83,2016-09-13 02:39:09,487,false,false,702,2017-03-02 22:10:05,2017-03-02 22:21:47,W_Services_User.7,W_Services_User.7,Busy_Lunch
W_UserServicePresence.31,308,297,540,2017-01-07 19:39:40,225,false,false,160,2017-03-09 06:40:25,2017-03-09 06:43:05,W_Services_User.1,W_Services_User.1,Busy
W_UserServicePresence.32,818,307,103,2017-01-14 06:12:16,84,true,true,413,2016-11-13 22:41:31,2016-11-13 22:48:24,W_Services_User.20,W_Services_User.20,Available_Live_Agent
W_UserServicePresence.33,328,157,56,2016-10-14 15:19:29,325,false,false,178,2017-02-17 17:21:54,2017-02-17 17:24:52,W_Services_User.5,W_Services_User.5,Busy
W_UserServicePresence.34,681,47,95,2017-02-15 01:19:47,418,false,true,569,2016-10-03 15:28:09,2016-10-03 15:37:38,W_Services_User.18,W_Services_User.18,Available_Live_Agent
W_UserServicePresence.35,746,431,208,2016-11-14 22:06:03,167,true,true,190,2016-11-14 09:00:30,2016-11-14 09:03:40,W_Services_User.17,W_Services_User.17,Busy_Break
W_UserServicePresence.36,655,169,143,2016-10-20 17:51:07,563,false,true,109,2016-11-08 10:08:46,2016-11-08 10:10:35,W_Services_User.16,W_Services_User.16,Available_Live_Agent
W_UserServicePresence.37,642,78,370,2017-01-11 06:26:26,55,true,false,556,2016-07-19 02:37:11,2016-07-19 02:46:27,W_Services_User.3,W_Services_User.3,Available_Live_Agent
