Label,Name,Type,ReferenceTo,Length,Precision,Scale,DefaultValue,IsExternalId,IsRequired
ArticleNumber,ArticleNumber__c,Text,,30,0,0,,FALSE,TRUE
CreatedDate,CreatedDate__c,DateTime,,0,0,0,,FALSE,TRUE
Owner ID,OwnerId__c,Text,,18,0,0,,FALSE,TRUE
PublishStatus,PublishStatus__c,Text,,40,0,0,,FALSE,TRUE
IsLatestVersion,IsLatestVersion__c,Checkbox,,0,0,0,TRUE,FALSE,TRUE
IsVisibleInApp,IsVisibleInApp__c,Checkbox,,0,0,0,TRUE,FALSE,TRUE
IsVisibleInCsp,IsVisibleInCsp__c,Checkbox,,0,0,0,TRUE,FALSE,TRUE
IsVisibleInPkb,IsVisibleInPkb__c,Checkbox,,0,0,0,TRUE,FALSE,TRUE
IsVisibleInPrm,IsVisibleInPrm__c,Checkbox,,0,0,0,TRUE,FALSE,TRUE
KnowledgeArticle ID,KnowledgeArticleId__c,Text,,18,0,0,,FALSE,TRUE
Title,Title__c,Text,,255,0,0,,FALSE,TRUE
VersionNumber,VersionNumber__c,Number,,6,0,0,,FALSE,TRUE
External_Id__c,External_Id__c,Text,,50,0,0,,TRUE,FALSE
