Label,Name,Type,ReferenceTo,Length,Precision,Scale,DefaultValue,IsExternalId,IsRequired
AtCapacityDuration,AtCapacityDuration__c,Number,,0,9,0,,FALSE,FALSE
AverageCapacity,AverageCapacity__c,Number,,0,10,2,,FALSE,FALSE
ConfiguredCapacity,ConfiguredCapacity__c,Number,,0,9,2,,FALSE,FALSE
CreatedDate__c,CreatedDate__c,DateTime,,0,0,0,,FALSE,TRUE
IdleDuration,IdleDuration__c,Number,,0,9,0,,FALSE,FALSE
IsAway,IsAway__c,Checkbox,,0,0,0,FALSE,FALSE,FALSE
IsCurrentState,IsCurrentState__c,Checkbox,,0,0,0,FALSE,FALSE,FALSE
StatusDuration,StatusDuration__c,Number,,0,9,0,,FALSE,FALSE
StatusEndDate,StatusEndDate__c,DateTime,,0,0,0,,FALSE,FALSE
StatusStartDate,StatusStartDate__c,DateTime,,0,0,0,,FALSE,FALSE
Owner ID,OwnerId__c,Text,,18,0,0,,FALSE,TRUE
User ID,UserId__c,Text,,18,0,0,,FALSE,TRUE
Service Presence Status ID,ServicePresenceStatusId__c,Text,,18,0,0,,FALSE,TRUE
External_Id__c,External_Id__c,Text,,50,0,0,,TRUE,FALSE
