Label,Name,Type,ReferenceTo,Length,Precision,Scale,IsExternalId,IsRequired
External_Id__c,External_Id__c,Text,,50,0,0,TRUE,TRUE
CompanyName,CompanyName,Text,,100,0,0,FALSE,FALSE
FirstName,FirstName,Text,,100,0,0,FALSE,TRUE
LastName,LastName,Text,,100,0,0,FALSE,TRUE
Name,Name,Text,,100,0,0,FALSE,TRUE
Alias,Alias,Text,,100,0,0,FALSE,FALSE
Username,Username,Text,,100,0,0,FALSE,TRUE
CommunityNickname,CommunityNickname,Text,,100,0,0,FALSE,FALSE
Email,Email,Email,,100,0,0,FALSE,TRUE
Phone,Phone,Text,,100,0,0,FALSE,FALSE
UserRole.Name,UserRole.Name,Text,,100,0,0,FALSE,TRUE
Profile.Name,Profile.Name,Text,,100,0,0,FALSE,TRUE
Title,Title,Text,,100,0,0,FALSE,TRUE
TimeZoneSidKey,TimeZoneSidKey,Text,,100,0,0,FALSE,FALSE
LocaleSidKey,LocaleSidKey,Text,,100,0,0,FALSE,FALSE
EmailEncodingKey,EmailEncodingKey,Text,,100,0,0,FALSE,FALSE
LanguageLocaleKey,LanguageLocaleKey,Text,,100,0,0,FALSE,FALSE
UserPermissionsAvantgoUser,UserPermissionsAvantgoUser,boolean,,100,0,0,FALSE,FALSE
UserPermissionsCallCenterAutoLogin,UserPermissionsCallCenterAutoLogin,boolean,,100,0,0,FALSE,FALSE
UserPermissionsChatterAnswersUser,UserPermissionsChatterAnswersUser,boolean,,100,0,0,FALSE,FALSE
UserPermissionsInteractionUser,UserPermissionsInteractionUser,boolean,,100,0,0,FALSE,FALSE
UserPermissionsJigsawProspectingUser,UserPermissionsJigsawProspectingUser,boolean,,100,0,0,FALSE,FALSE
UserPermissionsKnowledgeUser,UserPermissionsKnowledgeUser,boolean,,100,0,0,FALSE,FALSE
UserPermissionsLiveAgentUser,UserPermissionsLiveAgentUser,boolean,,100,0,0,FALSE,FALSE
UserPermissionsMarketingUser,UserPermissionsMarketingUser,boolean,,100,0,0,FALSE,FALSE
UserPermissionsMobileUser,UserPermissionsMobileUser,boolean,,100,0,0,FALSE,FALSE
UserPermissionsOfflineUser,UserPermissionsOfflineUser,boolean,,100,0,0,FALSE,FALSE
UserPermissionsSFContentUser,UserPermissionsSFContentUser,boolean,,100,0,0,FALSE,FALSE
UserPermissionsSiteforceContributorUser,UserPermissionsSiteforceContributorUser,boolean,,100,0,0,FALSE,FALSE
UserPermissionsSiteforcePublisherUser,UserPermissionsSiteforcePublisherUser,boolean,,100,0,0,FALSE,FALSE
UserPermissionsSupportUser,UserPermissionsSupportUser,boolean,,100,0,0,FALSE,FALSE
UserPermissionsWorkDotComUserFeature,UserPermissionsWorkDotComUserFeature,boolean,,100,0,0,FALSE,FALSE
UserPreferencesActivityRemindersPopup,UserPreferencesActivityRemindersPopup,boolean,,100,0,0,FALSE,FALSE
UserPreferencesApexPagesDeveloperMode,UserPreferencesApexPagesDeveloperMode,boolean,,100,0,0,FALSE,FALSE
UserPreferencesCacheDiagnostics,UserPreferencesCacheDiagnostics,boolean,,100,0,0,FALSE,FALSE
UserPreferencesContentEmailAsAndWhen,UserPreferencesContentEmailAsAndWhen,boolean,,100,0,0,FALSE,FALSE
UserPreferencesContentNoEmail,UserPreferencesContentNoEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableAllFeedsEmail,UserPreferencesDisableAllFeedsEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableBookmarkEmail,UserPreferencesDisableBookmarkEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableChangeCommentEmail,UserPreferencesDisableChangeCommentEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableEndorsementEmail,UserPreferencesDisableEndorsementEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableFeedbackEmail,UserPreferencesDisableFeedbackEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableFileShareNotificationsForApi,UserPreferencesDisableFileShareNotificationsForApi,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableFollowersEmail,UserPreferencesDisableFollowersEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableLaterCommentEmail,UserPreferencesDisableLaterCommentEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableLikeEmail,UserPreferencesDisableLikeEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableMentionsPostEmail,UserPreferencesDisableMentionsPostEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableMessageEmail,UserPreferencesDisableMessageEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableProfilePostEmail,UserPreferencesDisableProfilePostEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableRewardEmail,UserPreferencesDisableRewardEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableSharePostEmail,UserPreferencesDisableSharePostEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisableWorkEmail,UserPreferencesDisableWorkEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisCommentAfterLikeEmail,UserPreferencesDisCommentAfterLikeEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisMentionsCommentEmail,UserPreferencesDisMentionsCommentEmail,boolean,,100,0,0,FALSE,FALSE
UserPreferencesDisProfPostCommentEmail,UserPreferencesDisProfPostCommentEmail,boolean,,100,0,0,FALSE,FALSE
